idade,tempo_assinatura_meses,plano_assinatura,valor_mensal,visualizacoes_mes,tempo_medio_sessao_min,contatos_suporte,avaliacao_conteudo,metodo_pagamento,dispositivo_principal
47,36,Premium,31.84,66,34,5,3.3,credito,smart_tv
26,58,Basico,49.64,188,176,5,2.3,debito,mobile
30,10,Premium,56.11,196,79,5,1.3,credito,mobile
40,3,Premium,46.48,164,120,3,1.5,boleto,computer
37,2,Premium,53.13,139,118,5,3,credito,smart_tv
52,23,Basico,40.42,53,61,3,3.1,debito,smart_tv
28,5,Basico,42.75,84,23,3,1,boleto,mobile
61,18,Standard,50.59,138,27,5,4.5,debito,mobile
51,48,Basico,22.05,143,20,4,1,credito,computer
30,29,Premium,44.98,98,29,3,1.7,boleto,smart_tv
27,25,Basico,57.67,14,32,0,1.7,boleto,mobile
71,28,Premium,52.28,45,63,0,2.6,boleto,mobile
18,60,Premium,50.12,47,50,0,3.1,credito,smart_tv
48,45,Premium,44.41,8,67,1,4.1,debito,computer
68,49,Premium,32.52,37,34,2,2.8,boleto,mobile
56,13,Standard,25.62,169,33,0,3,boleto,computer
56,27,Premium,26.60,192,62,4,2.8,boleto,smart_tv
30,34,Basico,59.34,82,107,0,1.6,credito,mobile
60,2,Premium,45.20,81,20,3,3.5,credito,computer
65,47,Standard,39.43,188,30,0,4.5,credito,smart_tv
69,30,Standard,55.77,47,145,5,4.7,boleto,computer
20,11,Premium,25.22,116,81,5,2.6,credito,mobile
36,6,Basico,24.40,121,32,2,1.7,boleto,smart_tv
47,18,Premium,54.33,5,163,5,3.7,boleto,smart_tv
61,37,Standard,29.10,48,27,4,5,credito,mobile
73,38,Premium,58.77,67,54,1,3,credito,mobile
18,36,Basico,54.81,15,57,0,3.7,credito,mobile
29,6,Standard,50.22,107,154,2,2.7,boleto,computer
70,29,Standard,39.71,180,167,3,4.5,debito,smart_tv
65,9,Premium,51.98,107,132,3,1.1,credito,mobile
54,26,Premium,27.48,122,23,0,2.7,credito,smart_tv
49,50,Premium,55.31,82,51,5,4.6,debito,smart_tv
34,5,Basico,52.12,17,51,2,2.9,boleto,smart_tv
25,50,Basico,31.25,117,150,1,2.2,credito,mobile
57,30,Premium,59.70,4,19,4,1.4,boleto,mobile
68,50,Premium,26.84,111,21,2,2.8,boleto,mobile
49,26,Standard,29.38,139,131,1,1.5,boleto,smart_tv
28,33,Premium,27.46,166,27,2,2.9,credito,mobile
69,12,Standard,54.41,159,108,3,1,boleto,smart_tv
21,51,Premium,41.23,142,27,1,1.4,boleto,computer
34,36,Basico,31.14,71,132,0,4.6,boleto,computer
63,37,Standard,30.90,164,59,5,4.6,boleto,smart_tv
67,18,Basico,23.71,29,159,1,3.9,debito,smart_tv
36,16,Basico,29.87,61,101,4,1.8,credito,mobile
18,48,Standard,33.37,189,177,2,1.7,boleto,smart_tv
71,23,Premium,21.14,150,63,2,1.8,debito,mobile
36,58,Standard,51.30,88,118,3,3.8,credito,smart_tv
21,24,Premium,20.65,140,93,3,1.2,boleto,smart_tv
22,23,Basico,27.29,78,113,4,1,debito,mobile
27,18,Premium,52.45,78,123,4,2.8,boleto,smart_tv
37,27,Standard,55.37,187,141,4,3.3,boleto,smart_tv
37,33,Premium,45.89,80,149,3,1.6,credito,mobile
51,44,Basico,56.18,6,68,3,4.8,boleto,computer
50,5,Basico,59.39,53,79,5,2.9,debito,mobile
48,58,Premium,23.06,194,159,1,1.2,credito,computer
71,42,Premium,40.08,67,11,3,3.4,boleto,smart_tv
43,18,Basico,52.94,35,92,0,4.2,boleto,mobile
26,43,Basico,55.43,63,59,4,4.5,debito,mobile
47,52,Basico,37.58,164,98,4,4.7,boleto,mobile
23,29,Basico,36.72,98,77,0,2.1,credito,smart_tv
48,38,Premium,54.63,1,39,2,1,debito,computer
45,48,Premium,37.82,143,175,0,3.4,boleto,smart_tv
47,25,Basico,52.65,76,36,3,3.3,credito,mobile
28,38,Basico,55.07,188,74,2,4.1,debito,computer
58,53,Standard,20.21,30,147,4,2.6,credito,mobile
40,13,Standard,55.69,76,176,4,2.9,debito,computer
66,49,Basico,37.48,75,67,2,3.6,boleto,smart_tv
73,55,Standard,20.91,60,69,4,2.5,boleto,mobile
54,45,Basico,42.76,26,17,3,1.1,debito,smart_tv
71,24,Standard,43.68,90,80,5,1.2,credito,mobile
59,48,Premium,56.88,2,90,3,3.4,credito,smart_tv
48,28,Basico,59.85,88,87,2,2.2,debito,mobile
50,33,Premium,46.61,28,160,5,3,debito,mobile
26,54,Premium,36.51,149,105,0,1.8,debito,computer
55,33,Premium,45.59,83,45,1,4.2,credito,smart_tv
35,8,Basico,45.78,60,152,4,1,boleto,computer
35,51,Basico,29.44,171,30,0,2.8,debito,mobile
36,59,Premium,49.94,194,160,0,2.3,debito,smart_tv
46,8,Standard,52.76,69,154,4,1,boleto,smart_tv
66,10,Basico,35.20,182,46,5,3.5,debito,smart_tv
49,2,Basico,21.89,12,111,3,3,debito,mobile
45,25,Standard,41.71,192,180,4,3.2,credito,computer
23,19,Premium,28.89,26,46,0,3.8,boleto,smart_tv
39,15,Basico,33.44,122,108,1,2.9,boleto,smart_tv
68,55,Basico,40.41,139,18,4,3.6,debito,computer
58,9,Premium,50.93,169,50,5,2.6,credito,computer
40,18,Premium,27.91,76,29,3,1.6,debito,smart_tv
23,24,Basico,25.41,200,131,3,2.8,debito,smart_tv
35,38,Premium,26.08,105,138,0,3.2,boleto,smart_tv
48,55,Premium,35.10,188,44,2,4.5,debito,mobile
62,30,Standard,56.17,171,120,5,2.3,debito,computer
35,54,Basico,25.01,0,154,1,3.4,debito,mobile
24,50,Basico,40.98,85,21,1,3.8,debito,smart_tv
22,49,Basico,24.47,31,80,1,2.7,boleto,computer
49,16,Basico,52.75,6,165,1,1.3,debito,smart_tv
18,31,Premium,43.12,173,171,4,2.1,boleto,mobile
53,47,Standard,35.95,174,121,3,2,boleto,computer
75,44,Standard,38.44,86,57,2,3.4,boleto,mobile
37,50,Basico,23.21,99,93,1,3.3,boleto,smart_tv
55,24,Standard,28.63,190,76,0,1.5,boleto,computer
53,37,Standard,22.11,50,44,4,4.4,credito,smart_tv
28,3,Premium,22.60,139,59,1,4.4,debito,mobile
55,35,Standard,50.48,1,98,5,2.6,credito,computer
56,54,Basico,28.37,163,136,5,3.1,debito,smart_tv
58,13,Basico,53.11,116,163,1,2,boleto,smart_tv
20,41,Basico,36.08,102,150,2,1.7,credito,computer
35,48,Premium,48.19,172,103,2,4.1,debito,computer
75,22,Premium,48.19,117,12,5,3.6,debito,computer
40,39,Standard,48.97,114,11,2,3.8,boleto,smart_tv
31,50,Premium,44.50,122,116,4,4.8,credito,computer
18,31,Premium,21.46,65,160,1,4.7,credito,computer
40,31,Basico,31.21,52,109,3,2.8,boleto,mobile
44,14,Standard,47.08,199,156,2,3.4,credito,mobile
60,2,Basico,51.12,121,146,1,4.8,boleto,smart_tv
68,2,Premium,31.53,70,174,0,1.8,credito,computer
18,33,Standard,29.43,139,33,0,1,credito,computer
47,59,Standard,20.99,125,74,1,1.7,credito,smart_tv
51,31,Premium,49.88,19,105,4,1,credito,mobile
50,11,Basico,55.48,134,29,4,1.3,credito,computer
21,41,Premium,22.60,23,63,4,5,debito,smart_tv
23,57,Basico,43.38,145,32,5,1.7,debito,smart_tv
24,24,Standard,52.10,89,84,5,3,debito,mobile
39,59,Premium,47.70,13,47,1,3,credito,mobile
32,47,Premium,39.61,92,85,4,3.1,debito,computer
36,37,Premium,27.79,118,52,3,3.5,boleto,computer
49,4,Basico,29.00,18,68,5,4,credito,computer
72,33,Standard,27.18,12,111,4,2.2,boleto,computer
25,57,Basico,20.67,37,39,5,2,credito,computer
18,51,Premium,23.45,62,168,1,4.5,credito,mobile
18,7,Standard,43.49,23,22,2,3.4,boleto,computer
62,51,Basico,29.06,185,119,3,2.4,credito,mobile
43,25,Standard,30.00,42,27,4,4.7,credito,smart_tv
56,3,Premium,48.14,19,152,3,3,debito,computer
38,52,Standard,24.99,12,107,1,3.9,boleto,smart_tv
41,32,Basico,26.26,118,38,0,4.8,debito,mobile
58,2,Basico,59.79,12,59,0,4.7,credito,computer
38,29,Basico,26.26,116,126,3,4.6,boleto,smart_tv
60,41,Standard,31.32,148,20,1,3.3,boleto,mobile
60,18,Basico,52.22,35,103,5,2.5,debito,smart_tv
70,7,Premium,23.81,177,161,5,2.9,credito,computer
53,6,Basico,29.04,59,35,4,1.2,boleto,smart_tv
32,18,Standard,30.01,126,174,5,4.8,debito,mobile
58,37,Basico,54.14,26,76,3,2.6,debito,mobile
20,7,Standard,47.44,167,159,4,1.7,credito,smart_tv
75,43,Standard,28.73,135,19,1,3.3,boleto,mobile
54,20,Basico,58.10,31,38,0,2.9,debito,smart_tv
26,4,Basico,24.26,159,14,1,3.2,debito,smart_tv
30,56,Premium,47.02,170,47,5,2.4,boleto,mobile
21,6,Premium,41.36,16,139,5,1.6,debito,smart_tv
32,15,Basico,58.97,46,72,1,1,debito,computer
33,46,Premium,21.33,119,92,0,2.6,credito,computer
69,23,Standard,35.12,4,140,4,3,credito,computer
72,56,Standard,27.15,57,167,1,2,boleto,computer
48,9,Premium,59.79,87,87,5,3.5,debito,smart_tv
59,48,Standard,25.06,40,158,5,2.1,debito,computer
30,22,Basico,37.09,183,49,1,1.6,boleto,smart_tv
61,11,Basico,48.94,76,18,2,3.6,credito,smart_tv
21,15,Basico,21.21,87,36,1,4.9,debito,smart_tv
62,1,Basico,32.70,183,41,1,3.4,boleto,mobile
67,21,Premium,50.76,145,24,4,3.9,credito,smart_tv
18,15,Premium,41.88,127,177,2,3.8,debito,computer
62,43,Basico,29.04,144,73,4,1.2,boleto,smart_tv
60,39,Premium,50.53,57,63,3,1.5,credito,smart_tv
28,4,Premium,31.66,108,122,0,1.4,boleto,smart_tv
54,60,Standard,40.46,152,169,2,3.5,credito,computer
58,25,Basico,32.45,81,83,1,1.2,boleto,smart_tv
19,41,Basico,45.31,33,67,1,3,boleto,mobile
68,18,Basico,41.16,150,129,1,1.5,boleto,computer
67,19,Basico,43.32,27,72,0,1,debito,computer
62,17,Basico,56.65,89,162,1,2.7,credito,computer
31,44,Basico,51.00,40,26,2,3.9,credito,computer
22,17,Premium,53.99,121,155,3,4.1,boleto,mobile
73,33,Premium,20.35,48,82,1,1.5,credito,computer
65,57,Premium,27.62,154,95,4,1.1,debito,computer
32,26,Basico,31.86,134,154,2,2,debito,computer
25,54,Standard,29.67,2,25,4,3.4,credito,mobile
32,58,Basico,34.85,109,144,4,1.4,debito,computer
28,58,Premium,47.30,142,37,5,4.5,boleto,computer
71,14,Standard,38.64,195,27,3,5,debito,smart_tv
21,10,Basico,41.73,66,21,3,3.2,debito,smart_tv
29,14,Basico,56.02,163,100,0,1.6,credito,smart_tv
31,54,Premium,24.79,16,176,3,1.3,debito,mobile
53,47,Premium,45.35,42,14,1,2.5,debito,mobile
39,28,Premium,31.74,100,24,0,1.9,debito,mobile
19,7,Premium,21.75,27,61,4,3.8,debito,computer
30,45,Basico,51.11,62,124,2,4.9,credito,mobile
36,11,Standard,56.83,18,132,5,3.8,credito,mobile
47,46,Standard,52.13,106,151,1,4.7,boleto,smart_tv
20,41,Standard,20.92,116,97,2,1.9,debito,computer
24,33,Premium,26.24,28,161,0,1,boleto,mobile
75,35,Basico,43.37,170,151,1,2.7,boleto,computer
69,19,Premium,44.80,136,162,5,3.8,debito,smart_tv
37,46,Standard,51.98,31,47,1,1.1,debito,smart_tv
27,45,Basico,37.66,124,180,0,2.4,debito,computer
29,12,Premium,59.49,120,39,5,1.9,debito,smart_tv
27,58,Premium,49.50,175,135,0,2.4,boleto,mobile
62,4,Basico,56.33,53,169,2,5,debito,smart_tv
30,50,Basico,19.91,30,164,1,3.1,credito,computer
42,22,Premium,40.52,107,85,3,1.7,credito,computer
54,33,Standard,53.15,114,51,0,3,credito,smart_tv
26,24,Basico,37.74,157,164,1,1.7,boleto,smart_tv
64,34,Basico,24.94,90,174,5,1.6,debito,mobile
18,46,Basico,58.93,145,115,2,1.2,boleto,smart_tv
75,19,Premium,32.15,50,46,2,4.6,credito,smart_tv
34,19,Premium,24.62,179,50,0,1.7,boleto,mobile
26,1,Basico,35.60,66,47,3,4,credito,mobile
47,9,Basico,59.60,20,74,1,4,debito,smart_tv
48,10,Basico,40.61,157,143,5,4.1,credito,smart_tv
35,59,Standard,57.83,54,94,3,2.9,credito,mobile
30,42,Premium,38.81,12,174,0,4.2,credito,smart_tv
34,41,Basico,55.35,194,177,2,4.9,credito,smart_tv
44,40,Premium,42.48,37,115,2,4.3,debito,mobile
72,57,Standard,33.85,31,75,0,4.2,debito,mobile
72,30,Basico,46.26,197,141,0,4.4,boleto,computer
56,19,Premium,57.18,143,26,2,2.3,debito,mobile
68,16,Basico,31.02,113,94,4,4.9,debito,computer
74,30,Premium,56.98,6,167,3,2.1,debito,mobile
31,4,Premium,59.37,75,161,1,3.4,boleto,mobile
32,45,Basico,21.20,60,146,3,3.1,boleto,smart_tv
42,7,Standard,23.43,163,172,2,2.5,credito,computer
64,35,Premium,53.63,184,101,0,3.5,debito,mobile
18,19,Standard,34.15,25,38,1,4.3,credito,computer
49,58,Basico,59.37,178,92,3,4.2,boleto,mobile
22,34,Basico,43.05,81,122,2,1.1,boleto,mobile
34,33,Basico,57.57,52,90,5,3.7,debito,computer
35,29,Basico,35.19,55,153,3,3.4,boleto,smart_tv
58,44,Standard,26.80,45,145,0,1.8,debito,computer
29,10,Basico,33.88,53,37,0,2.5,boleto,computer
65,3,Basico,21.30,38,167,3,4.8,credito,mobile
50,5,Basico,46.32,43,121,0,1.5,boleto,mobile
32,57,Basico,35.98,120,131,2,3.5,boleto,computer
21,37,Premium,49.79,174,91,4,3.2,debito,computer
67,14,Basico,53.63,179,117,1,1.6,credito,computer
75,44,Standard,49.23,63,48,5,2,boleto,mobile
41,48,Basico,24.91,174,180,5,2.1,debito,smart_tv
66,53,Standard,49.10,10,30,0,4.7,credito,computer
60,7,Basico,46.50,19,58,0,3.6,boleto,computer
55,18,Standard,39.15,131,144,1,1,boleto,smart_tv
70,59,Premium,56.44,41,33,3,2.6,debito,mobile
54,36,Basico,52.02,38,80,5,2,credito,computer
50,59,Basico,25.06,7,54,4,1.3,debito,smart_tv
60,14,Basico,33.53,36,139,5,4.4,debito,computer
66,13,Basico,35.29,162,52,2,3,credito,computer
49,22,Premium,57.40,126,58,0,2.3,debito,mobile
47,3,Basico,28.39,22,31,3,3,credito,mobile
56,26,Basico,53.02,51,79,0,1.1,debito,mobile
59,20,Premium,24.64,179,119,5,3.6,credito,smart_tv
40,27,Basico,44.20,182,135,1,3.9,credito,smart_tv
37,60,Basico,51.28,13,145,0,4.5,boleto,mobile
43,45,Standard,26.21,23,175,3,2.5,credito,computer
37,2,Standard,21.91,171,32,1,1.8,credito,smart_tv
35,41,Standard,26.06,118,71,1,1.5,boleto,smart_tv
56,22,Standard,48.84,40,175,3,3.1,boleto,computer
60,15,Standard,25.02,141,35,3,2.8,credito,computer
69,48,Premium,41.33,181,78,3,4.9,debito,mobile
63,15,Basico,56.00,133,148,5,3.3,debito,mobile
28,39,Premium,43.72,79,13,0,4.4,boleto,smart_tv
75,53,Basico,54.44,15,23,5,1,debito,smart_tv
66,37,Basico,38.65,113,30,3,4.2,debito,mobile
47,28,Standard,31.74,100,117,0,4.3,boleto,mobile
66,38,Premium,55.47,29,45,2,1.2,boleto,mobile
63,26,Standard,21.79,122,11,0,1.4,debito,computer
68,10,Standard,44.28,123,92,0,3.6,debito,computer
30,31,Standard,58.12,115,30,1,1.3,boleto,computer
69,30,Standard,26.52,88,113,4,4.2,debito,computer
43,24,Basico,28.56,122,81,0,2.4,boleto,computer
62,10,Basico,57.43,39,169,0,4.5,debito,smart_tv
49,15,Standard,28.29,10,16,2,1.4,debito,computer
35,41,Basico,25.23,53,171,4,4.7,debito,mobile
57,30,Premium,57.35,37,83,4,3.3,debito,computer
63,17,Standard,48.69,75,111,2,3.1,debito,mobile
54,48,Premium,40.99,63,46,0,1.7,credito,mobile
52,60,Premium,30.30,136,133,5,3,credito,computer
44,37,Basico,43.49,52,164,0,2.3,debito,computer
25,15,Standard,55.83,178,80,5,4.4,credito,smart_tv
45,2,Premium,51.21,19,134,1,1.2,boleto,mobile
44,32,Standard,46.13,150,153,1,2.6,boleto,computer
69,43,Standard,44.06,121,141,4,4.7,credito,computer
24,16,Basico,34.77,125,174,5,2.4,debito,smart_tv
48,16,Basico,33.86,92,63,5,4.8,credito,smart_tv
56,47,Basico,24.92,197,67,5,2.7,boleto,mobile
57,47,Standard,44.27,172,14,5,2.1,debito,computer
43,42,Basico,54.31,169,173,1,3.3,debito,computer
64,35,Premium,27.68,162,154,2,1,debito,smart_tv
18,50,Standard,45.28,116,170,4,1.3,debito,smart_tv
65,20,Premium,57.73,162,107,2,2.5,credito,computer
45,11,Standard,35.06,133,34,5,3.7,debito,computer
61,36,Basico,21.39,75,40,1,3.4,debito,smart_tv
29,18,Basico,36.18,17,88,5,4.2,credito,mobile
24,9,Premium,41.95,89,85,3,2.5,boleto,mobile
66,15,Basico,34.43,53,158,2,1.4,debito,smart_tv
32,53,Premium,29.70,57,47,5,4.1,debito,mobile
74,7,Premium,37.39,89,139,1,3.3,credito,computer
39,43,Standard,44.90,149,13,3,1.2,debito,mobile
32,37,Premium,53.01,13,44,3,1.5,credito,computer
22,49,Basico,27.56,67,45,1,5,credito,smart_tv
21,45,Basico,36.72,175,88,5,4,boleto,mobile
20,26,Premium,36.47,114,137,2,4,debito,mobile
74,10,Basico,21.25,56,39,1,4,boleto,computer
61,59,Basico,37.25,136,157,3,3.6,credito,smart_tv
56,45,Premium,52.50,0,59,1,1.8,debito,computer
30,36,Premium,47.15,12,125,1,4.5,credito,computer
42,38,Basico,25.39,21,12,2,3.2,debito,computer
52,14,Basico,22.98,76,67,0,2.5,debito,mobile
49,18,Basico,56.75,94,161,3,1,credito,smart_tv
52,57,Premium,46.48,30,102,1,2.8,credito,mobile
64,1,Basico,51.81,137,59,0,4.7,boleto,computer
31,38,Standard,45.77,47,39,0,2.3,boleto,smart_tv
31,26,Premium,38.88,99,19,2,3.7,credito,computer
67,19,Basico,49.66,85,120,5,2.6,credito,mobile
68,54,Basico,51.02,23,87,5,2.8,debito,mobile
74,16,Basico,59.49,26,154,5,1.9,boleto,computer
41,19,Basico,38.24,139,56,3,4.2,boleto,smart_tv
51,24,Standard,59.14,20,170,3,1.7,boleto,smart_tv
20,26,Basico,46.43,3,153,1,1.7,debito,mobile
27,26,Standard,55.05,155,136,2,1.6,credito,computer
41,23,Basico,28.01,117,93,5,3.2,debito,smart_tv
59,48,Premium,49.28,194,170,0,5,debito,computer
29,26,Basico,52.74,43,152,1,4.7,credito,smart_tv
62,20,Basico,32.68,44,84,2,3.8,credito,computer
41,49,Standard,38.07,136,174,2,2.6,boleto,mobile
63,36,Basico,55.19,195,102,3,3.9,debito,mobile
30,20,Standard,21.16,105,169,5,1,credito,smart_tv
63,29,Basico,47.50,156,39,0,1.3,boleto,smart_tv
39,5,Basico,35.11,60,129,0,1.6,boleto,mobile
63,37,Standard,36.77,167,173,4,4.1,boleto,mobile
32,17,Basico,25.90,118,161,4,4.6,credito,computer
45,36,Basico,23.20,175,137,1,3.2,credito,mobile
56,24,Premium,55.07,104,14,0,3.9,debito,computer
35,8,Premium,40.57,88,139,4,1.5,credito,smart_tv
30,38,Basico,27.94,112,15,0,4.1,credito,smart_tv
32,58,Standard,40.03,165,11,2,2.3,credito,smart_tv
57,13,Premium,31.46,145,150,1,3.5,boleto,mobile
37,49,Basico,21.46,179,176,1,4.2,credito,computer
55,47,Basico,36.53,126,76,4,3,credito,smart_tv
31,18,Premium,55.43,70,24,5,4.5,debito,computer
32,5,Basico,30.16,43,28,5,1,debito,mobile
23,43,Premium,58.49,89,144,1,1.6,boleto,smart_tv
25,15,Standard,42.05,156,49,5,2.6,credito,smart_tv
56,44,Premium,26.03,187,68,2,1.2,boleto,smart_tv
63,52,Premium,59.23,11,93,4,2,credito,smart_tv
20,59,Basico,58.72,31,56,2,3,credito,mobile
55,45,Standard,45.06,119,104,3,1.8,credito,smart_tv
62,15,Basico,35.33,74,36,3,1.1,credito,smart_tv
58,45,Standard,24.61,140,57,5,2,credito,computer
26,27,Standard,57.37,200,167,0,4.1,debito,mobile
44,49,Premium,50.36,113,42,0,2.8,boleto,mobile
61,19,Premium,44.08,180,103,3,2.8,boleto,computer
19,12,Basico,46.96,151,147,5,4.9,boleto,mobile
46,47,Standard,55.35,175,58,5,4.3,boleto,computer
53,21,Basico,53.73,78,35,3,4.2,credito,computer
28,21,Basico,23.19,134,11,2,1.1,debito,computer
35,15,Premium,34.28,170,64,5,1,debito,mobile
26,26,Standard,29.39,163,79,0,1.4,boleto,mobile
47,12,Standard,38.07,192,107,5,3.9,boleto,smart_tv
50,19,Standard,22.40,160,168,0,2.2,credito,smart_tv
66,51,Standard,48.37,1,145,1,1,debito,mobile
35,39,Premium,21.21,60,83,4,5,debito,mobile
36,25,Premium,37.97,14,32,1,4.4,boleto,smart_tv
34,6,Standard,29.05,165,122,3,4.8,credito,computer
59,28,Standard,29.04,120,165,0,1.3,credito,smart_tv
45,4,Basico,56.55,84,148,5,2.7,credito,computer
18,13,Basico,37.92,129,178,5,2.9,credito,computer
51,39,Premium,44.45,34,137,5,1.9,boleto,mobile
59,1,Premium,52.31,128,78,0,1.3,boleto,mobile
42,18,Standard,48.17,142,170,5,1.7,debito,smart_tv
34,40,Standard,44.53,148,19,3,4.9,credito,computer
19,42,Standard,38.52,170,95,0,4.9,debito,computer
49,60,Basico,30.54,68,36,1,1.6,credito,mobile
32,6,Standard,24.18,105,151,1,1.7,credito,computer
73,14,Premium,30.16,82,155,4,4.6,boleto,mobile
34,49,Standard,31.63,164,110,0,3.1,debito,smart_tv
67,9,Basico,28.27,14,89,0,1.6,debito,mobile
27,13,Standard,23.37,51,157,0,3,debito,computer
74,49,Basico,24.49,196,91,1,1.9,debito,computer
41,3,Standard,57.08,36,49,2,3.3,boleto,smart_tv
68,39,Standard,50.48,53,61,1,1.2,debito,smart_tv
52,25,Basico,54.07,22,69,5,3.1,credito,smart_tv
20,59,Standard,24.63,175,18,4,1.2,boleto,mobile
63,39,Premium,53.66,50,89,3,3.9,boleto,smart_tv
27,49,Premium,28.07,129,35,2,2,debito,computer
68,4,Basico,37.85,71,152,3,3.6,debito,smart_tv
58,48,Standard,26.60,62,89,5,3.2,debito,mobile
48,48,Standard,36.85,125,159,4,2.3,boleto,mobile
62,4,Premium,52.34,13,152,5,4,debito,mobile
66,11,Basico,43.63,156,30,4,4.2,credito,mobile
61,21,Premium,47.81,30,81,1,3.3,credito,smart_tv
40,44,Basico,40.57,35,135,2,4.1,debito,smart_tv
27,10,Standard,26.29,11,179,0,3.5,credito,mobile
20,16,Standard,33.69,85,45,2,1.9,debito,smart_tv
39,42,Basico,38.02,171,18,2,3.4,credito,smart_tv
36,24,Standard,38.81,196,172,1,3.7,credito,mobile
18,46,Standard,57.92,99,98,4,2.5,credito,smart_tv
54,10,Standard,40.01,44,38,5,2.8,debito,computer
61,3,Standard,46.32,0,157,3,1.3,boleto,smart_tv
28,3,Premium,30.29,56,156,4,4.8,credito,smart_tv
33,36,Premium,31.08,72,69,0,4.7,debito,computer
59,5,Standard,40.90,123,97,0,2.7,debito,computer
30,52,Standard,45.88,23,79,2,3.9,credito,smart_tv
21,17,Standard,20.83,43,25,0,2.7,debito,smart_tv
26,47,Standard,51.11,191,49,5,4,credito,computer
70,55,Basico,56.89,70,79,2,4.6,credito,computer
35,21,Standard,36.03,85,153,0,3.2,debito,computer
39,60,Standard,55.21,165,73,2,1.9,credito,computer
56,56,Premium,40.37,138,159,3,1.7,boleto,mobile
66,12,Standard,51.14,1,30,4,2.4,debito,smart_tv
25,14,Standard,34.03,189,80,0,2.1,credito,mobile
20,50,Premium,22.82,95,101,2,1.2,credito,mobile
71,46,Premium,20.32,83,118,2,3.8,credito,mobile
23,60,Basico,38.65,55,148,3,3.3,credito,mobile
18,5,Premium,59.18,84,166,4,2.1,boleto,mobile
48,14,Standard,47.78,109,147,2,4.5,boleto,mobile
62,31,Basico,48.25,132,107,3,2.9,credito,computer
67,48,Basico,41.65,4,87,4,1.4,boleto,computer
69,14,Premium,31.65,142,15,3,4,boleto,computer
23,16,Basico,27.80,102,51,4,4.6,boleto,computer
50,44,Premium,58.62,61,159,0,1.5,debito,smart_tv
63,32,Basico,21.94,45,10,3,2.1,boleto,computer
54,1,Premium,38.94,34,83,0,3.1,boleto,mobile
41,11,Premium,22.58,36,114,4,4.3,boleto,mobile
18,10,Standard,44.54,59,14,5,1.9,debito,computer
27,7,Basico,38.57,22,26,5,4.8,debito,computer
55,26,Premium,35.80,53,172,2,4.9,boleto,mobile
46,43,Basico,51.04,39,147,1,4.2,credito,mobile
29,52,Basico,33.04,62,80,1,4,debito,smart_tv
62,36,Premium,41.62,88,101,1,1.7,boleto,smart_tv
72,52,Standard,27.74,60,62,0,4.8,credito,computer
54,54,Basico,48.02,138,90,1,4.4,debito,mobile
29,4,Standard,54.16,9,20,5,1.7,credito,computer
36,40,Basico,34.56,19,21,4,4.3,debito,mobile
60,2,Premium,38.22,172,13,5,1.3,boleto,smart_tv
19,7,Standard,23.67,150,147,3,4.3,boleto,smart_tv
44,6,Standard,45.15,5,25,4,2.5,boleto,computer
53,60,Premium,19.99,154,74,3,2.6,debito,smart_tv
48,12,Basico,53.97,1,62,2,1.6,credito,computer
39,36,Standard,31.75,50,14,1,2.6,boleto,computer
