cliente_id,idade,genero,tempo_assinatura_meses,plano_assinatura,valor_mensal,visualizacoes_mes,tempo_medio_sessao_min,contatos_suporte,avaliacao_conteudo_media,avaliacao_conteudo_ultimo_mes,avaliacao_plataforma,regiao
CLI-00088,45,Masculino,36,Premium,20.58,3,38,10,4.0,4.1,2.0,Oeste
CLI-00089,39,Feminino,39,Basico,98.6,21,102,2,2.2,2.8,1.7,Leste
CLI-00090,47,Feminino,38,Premium,20.9,11,68,3,3.3,3.4,1.0,Sudeste
CLI-00091,67,Masculino,24,Familia,79.61,29,26,4,1.4,3.6,1.2,Leste
CLI-00092,60,Feminino,15,Familia,36.01,32,9,1,3.8,1.1,2.6,Sudeste
CLI-00093,63,Masculino,37,Basico,86.33,31,18,10,1.5,4.3,3.6,Norte
CLI-00094,19,Masculino,24,Basico,71.61,30,59,0,4.3,4.8,3.8,Oeste
CLI-00095,36,Feminino,20,Familia,79.13,35,111,7,5.0,3.8,1.5,Sudeste
CLI-00096,39,Masculino,28,Premium,99.76,35,25,3,2.3,4.2,2.1,Leste
CLI-00097,39,Feminino,52,Premium,76.74,28,15,0,2.6,3.1,2.4,Oeste
CLI-00098,31,Masculino,49,Premium,34.29,22,93,9,4.5,1.7,3.6,Norte
CLI-00099,41,Feminino,34,Basico,98.85,48,120,3,4.1,3.5,3.4,Sul
CLI-00100,51,Masculino,32,Basico,69.01,13,47,3,4.8,4.4,3.7,Sul
CLI-00101,51,Feminino,1,Premium,35.59,1,23,2,2.1,3.7,3.0,Sudeste
CLI-00102,47,Feminino,60,Premium,27.72,48,8,3,1.5,4.5,2.5,Norte
CLI-00103,18,Masculino,13,Familia,94.06,21,101,9,4.8,4.5,3.8,Leste
CLI-00104,56,Feminino,21,Premium,22.4,5,69,8,3.3,2.2,1.9,Norte
CLI-00105,71,Masculino,36,Familia,61.73,21,67,2,3.0,2.6,1.4,Sudeste
CLI-00106,67,Masculino,59,Basico,40.47,26,75,1,4.5,3.7,3.2,Leste
CLI-00107,37,Feminino,37,Premium,52.52,12,73,0,3.1,4.3,1.1,Sudeste
CLI-00108,43,Masculino,22,Familia,82.2,26,38,9,1.3,4.5,2.5,Sudeste
CLI-00109,39,Masculino,46,Basico,22.36,45,80,6,2.4,2.2,1.5,Sudeste
CLI-00110,63,Masculino,50,Premium,24.99,28,43,3,3.6,4.8,4.0,Sudeste
CLI-00111,44,Masculino,21,Familia,93.12,6,28,1,4.8,1.1,4.4,Leste
CLI-00112,51,Masculino,19,Premium,49.38,35,21,5,3.2,4.4,2.2,Norte
CLI-00113,58,Feminino,8,Basico,25.55,38,30,3,1.2,4.2,2.8,Sudeste
CLI-00114,80,Masculino,37,Premium,76.62,38,52,2,4.8,4.1,2.8,Sudeste
CLI-00115,68,Feminino,25,Familia,90.13,22,112,7,3.7,1.1,4.1,Leste
CLI-00116,35,Masculino,35,Basico,67.54,12,56,4,3.4,3.1,4.5,Sudeste
CLI-00117,72,Masculino,35,Basico,26.42,45,109,10,2.2,1.2,1.2,Oeste
CLI-00118,75,Masculino,35,Basico,35.12,47,73,4,3.6,2.6,2.7,Oeste
CLI-00119,74,Feminino,58,Basico,78.73,24,87,1,3.2,3.8,4.9,Leste
CLI-00120,51,Feminino,45,Premium,74.64,39,19,2,1.3,1.0,2.1,Sul
CLI-00121,62,Masculino,59,Basico,26.2,49,46,0,4.8,2.0,3.0,Sul
CLI-00122,68,Feminino,6,Basico,73.94,34,60,5,2.6,2.4,3.3,Sudeste
CLI-00123,77,Feminino,21,Familia,38.05,15,49,9,1.5,2.9,1.1,Oeste
CLI-00124,48,Masculino,12,Familia,96.06,7,95,8,3.7,2.8,1.7,Norte
CLI-00125,47,Feminino,35,Basico,92.2,45,51,0,4.6,4.8,1.5,Oeste
CLI-00126,27,Masculino,42,Familia,74.62,13,29,5,2.8,4.2,4.2,Sudeste
CLI-00127,69,Masculino,42,Basico,60.76,39,71,6,1.3,2.0,2.7,Sul
CLI-00128,27,Feminino,52,Basico,72.4,47,86,6,4.2,4.0,3.3,Sul
CLI-00129,58,Masculino,1,Premium,78.08,24,70,4,2.5,4.3,4.8,Sul
CLI-00130,42,Masculino,53,Premium,82.47,0,69,4,1.6,1.5,1.5,Sul
CLI-00131,24,Masculino,6,Familia,72.38,11,117,4,4.6,1.9,2.7,Leste
CLI-00132,80,Masculino,9,Premium,93.2,9,73,2,1.6,4.1,1.0,Leste
CLI-00133,28,Masculino,26,Premium,62.31,43,78,10,3.0,2.7,1.4,Norte
CLI-00134,28,Masculino,14,Basico,43.12,44,29,6,1.5,1.8,4.9,Norte
CLI-00135,46,Masculino,38,Basico,36.89,21,34,7,1.1,4.0,3.2,Sudeste
CLI-00136,62,Masculino,49,Premium,98.94,5,28,0,2.5,4.5,2.1,Oeste
CLI-00137,35,Feminino,37,Basico,67.95,30,108,3,3.4,1.7,3.7,Sudeste
CLI-00138,48,Feminino,12,Familia,27.25,11,93,0,4.6,4.5,4.5,Sudeste
CLI-00139,35,Feminino,7,Familia,88.8,50,59,6,4.5,4.2,4.8,Sudeste
CLI-00140,20,Feminino,55,Familia,98.7,4,92,1,1.5,2.7,2.3,Sul
CLI-00141,51,Masculino,20,Premium,55.56,42,116,6,3.2,3.6,1.7,Sul
CLI-00142,69,Feminino,19,Familia,28.35,28,33,9,4.3,2.0,3.7,Leste
CLI-00143,69,Feminino,26,Familia,78.95,50,60,2,4.8,3.8,1.8,Sudeste
CLI-00144,65,Masculino,44,Premium,97.52,1,87,4,4.2,2.9,4.9,Norte
CLI-00145,71,Masculino,32,Familia,55.85,13,55,10,5.0,2.2,2.4,Sul
CLI-00146,72,Masculino,32,Basico,51.18,6,69,1,4.7,4.6,3.0,Leste
CLI-00147,21,Masculino,17,Familia,41.97,40,70,0,1.7,4.8,4.2,Sul
CLI-00148,47,Feminino,9,Basico,70.6,20,22,4,2.9,3.3,1.4,Leste
CLI-00149,49,Feminino,37,Premium,41.29,48,76,6,2.6,3.5,2.1,Sul
CLI-00150,39,Masculino,53,Premium,35.17,50,21,8,1.1,1.2,1.7,Leste
CLI-00151,50,Feminino,2,Premium,32.7,39,88,7,2.1,4.5,1.6,Sudeste
CLI-00152,21,Masculino,12,Familia,50.39,32,9,7,2.0,3.9,2.0,Sul
CLI-00153,31,Feminino,22,Premium,75.11,38,58,10,4.4,3.9,3.3,Sudeste
CLI-00154,77,Masculino,37,Familia,69.18,24,68,4,3.2,4.5,2.4,Norte
CLI-00155,53,Masculino,8,Familia,50.67,17,107,6,1.2,2.1,4.9,Oeste
CLI-00156,29,Masculino,37,Premium,44.41,50,39,10,2.7,3.4,4.0,Sul
CLI-00157,34,Feminino,28,Basico,72.36,26,33,0,2.6,3.6,5.0,Oeste
CLI-00158,35,Masculino,43,Familia,97.19,43,16,6,1.7,2.3,1.3,Leste
CLI-00159,68,Feminino,36,Premium,28.44,0,98,1,4.0,2.0,2.9,Norte
CLI-00160,60,Masculino,2,Basico,99.81,43,7,0,1.9,2.4,2.9,Sul
CLI-00161,37,Masculino,17,Premium,75.53,2,120,1,2.1,1.3,3.0,Sul
CLI-00162,59,Feminino,23,Basico,32.48,45,80,9,2.9,3.0,2.1,Sul
CLI-00163,77,Masculino,38,Familia,98.9,47,87,2,4.2,2.3,4.9,Sudeste
CLI-00164,56,Feminino,8,Premium,96.31,2,108,8,1.1,2.0,4.6,Norte
CLI-00165,29,Feminino,23,Basico,93.6,15,120,7,1.9,4.8,3.7,Sul
CLI-00166,31,Masculino,39,Premium,65.14,7,68,10,4.4,3.3,1.4,Sul
CLI-00167,46,Feminino,26,Basico,38.48,14,47,10,3.0,2.4,3.5,Norte
CLI-00168,35,Feminino,27,Premium,70.58,3,40,7,1.9,1.9,1.7,Norte
CLI-00169,19,Masculino,19,Premium,83.1,17,116,4,4.5,4.0,4.8,Sul
CLI-00170,37,Masculino,12,Basico,43.33,26,37,8,4.8,2.5,3.4,Norte
CLI-00171,27,Feminino,51,Premium,42.32,18,85,1,4.5,2.2,1.4,Leste
CLI-00172,31,Masculino,15,Familia,43.41,6,87,7,3.0,2.4,2.6,Oeste
CLI-00173,33,Feminino,41,Basico,96.16,23,101,1,1.0,4.1,4.8,Sudeste
CLI-00174,78,Feminino,36,Basico,83.23,3,82,0,3.2,4.1,2.3,Leste
CLI-00175,62,Masculino,27,Premium,99.97,6,14,0,3.4,2.1,1.2,Norte
CLI-00176,44,Feminino,18,Basico,96.63,3,43,8,1.8,3.6,4.3,Leste
CLI-00177,43,Masculino,15,Premium,41.43,19,78,10,2.4,2.5,3.4,Norte
CLI-00178,71,Masculino,5,Premium,76.97,4,102,5,4.6,1.5,3.2,Sudeste
CLI-00179,75,Masculino,38,Familia,73.85,35,67,7,3.2,1.5,1.4,Norte
CLI-00180,80,Feminino,15,Basico,22.12,6,33,6,1.5,2.0,4.4,Oeste
CLI-00181,73,Masculino,1,Basico,79.88,30,81,1,4.1,4.0,1.5,Norte
CLI-00182,67,Masculino,54,Familia,65.73,12,48,6,4.5,1.6,3.1,Sudeste
CLI-00183,35,Feminino,37,Familia,85.28,28,59,4,1.5,2.2,2.1,Sul
CLI-00184,28,Feminino,46,Familia,50.78,46,108,3,4.2,2.4,1.6,Oeste
CLI-00185,71,Feminino,22,Basico,81.1,11,67,0,2.8,2.5,4.6,Sudeste
CLI-00186,54,Masculino,21,Premium,99.83,37,114,10,1.1,2.7,4.6,Oeste
CLI-00187,74,Feminino,8,Familia,78.69,15,26,7,1.5,3.6,4.9,Sul
CLI-00188,71,Masculino,60,Basico,82.46,32,39,7,3.8,2.1,3.3,Leste
CLI-00189,32,Masculino,54,Basico,71.6,23,15,1,2.5,4.8,1.3,Norte
CLI-00190,25,Feminino,16,Basico,35.63,19,88,1,2.6,2.5,2.8,Sul
CLI-00191,66,Masculino,33,Familia,45.68,2,91,8,4.6,3.2,4.6,Norte
CLI-00192,64,Feminino,8,Basico,47.97,26,112,0,1.8,1.6,3.6,Sul
CLI-00193,70,Masculino,41,Premium,72.31,12,49,1,3.4,4.4,1.1,Sudeste
CLI-00194,77,Feminino,19,Basico,77.86,35,59,8,2.3,3.3,2.0,Sudeste
CLI-00195,34,Masculino,30,Familia,74.79,32,103,7,2.9,3.2,3.6,Norte
CLI-00196,67,Masculino,38,Basico,71.94,9,38,10,3.1,2.5,1.9,Sul
CLI-00197,55,Masculino,44,Basico,24.6,34,55,2,2.2,3.9,1.2,Sudeste
CLI-00198,79,Masculino,31,Familia,89.62,32,113,0,4.2,4.1,4.2,Sudeste
CLI-00199,66,Feminino,42,Premium,65.42,31,107,0,3.2,5.0,1.3,Oeste
CLI-00200,61,Masculino,44,Basico,61.25,1,57,7,1.7,2.8,2.8,Oeste
CLI-00201,69,Feminino,22,Basico,41.6,8,95,8,3.9,1.5,4.7,Sul
CLI-00202,77,Masculino,47,Basico,88.62,28,54,9,3.6,2.6,4.7,Sudeste
CLI-00203,24,Masculino,19,Basico,29.56,34,34,8,4.3,3.7,3.2,Sul
CLI-00204,53,Feminino,41,Familia,84.68,5,16,9,1.0,4.2,3.2,Sul
CLI-00205,71,Masculino,9,Basico,42.58,38,10,10,1.8,3.1,1.3,Sul
CLI-00206,63,Feminino,9,Basico,60.8,11,58,1,4.0,4.9,1.8,Norte
CLI-00207,67,Masculino,13,Premium,58.01,1,113,0,4.0,1.0,2.9,Sul
CLI-00208,70,Masculino,20,Premium,21.23,46,29,1,2.4,4.3,4.1,Oeste
CLI-00209,75,Feminino,41,Basico,29.15,37,91,7,2.5,4.0,1.2,Leste
CLI-00210,19,Masculino,20,Basico,47.95,47,62,3,3.1,3.7,2.5,Sul
CLI-00211,58,Feminino,41,Familia,32.58,0,16,3,4.8,2.2,4.4,Oeste
CLI-00212,69,Masculino,24,Familia,90.75,48,107,8,1.6,4.8,2.7,Norte
CLI-00213,80,Feminino,57,Basico,95.95,7,43,10,4.5,4.7,4.1,Norte
CLI-00214,76,Feminino,10,Premium,78.03,30,28,4,1.7,2.9,4.4,Norte
CLI-00215,31,Masculino,50,Basico,83.57,9,108,1,4.8,3.5,1.2,Sudeste
CLI-00216,49,Masculino,25,Premium,90.95,8,27,6,3.8,2.5,3.5,Oeste
CLI-00217,49,Masculino,26,Basico,65.74,50,63,7,4.8,4.7,3.2,Sul
CLI-00218,63,Feminino,32,Premium,28.89,19,58,3,3.1,2.8,2.5,Sudeste
CLI-00219,43,Masculino,48,Familia,89.27,17,92,9,3.7,3.3,1.7,Sudeste
CLI-00220,67,Feminino,23,Premium,26.95,8,95,10,4.8,1.6,1.6,Norte
CLI-00221,73,Feminino,3,Basico,79.27,39,24,6,2.4,4.5,3.2,Norte
CLI-00222,35,Feminino,7,Premium,95.4,21,99,1,1.1,2.7,4.6,Sul
CLI-00223,51,Feminino,51,Premium,87.87,3,10,7,3.8,3.3,3.6,Oeste
CLI-00224,33,Feminino,25,Basico,60.34,29,92,8,4.0,2.0,1.1,Norte
CLI-00225,32,Masculino,60,Premium,53.27,8,112,2,3.1,3.6,3.2,Norte
CLI-00226,57,Feminino,50,Premium,74.97,15,74,7,4.8,4.4,1.1,Norte
CLI-00227,49,Masculino,31,Basico,53.85,8,88,3,3.2,2.7,2.8,Sudeste
CLI-00228,54,Masculino,44,Premium,24.88,45,12,10,1.8,3.7,4.2,Oeste
CLI-00229,43,Masculino,12,Premium,71.66,34,68,7,3.1,2.3,2.6,Leste
CLI-00230,75,Masculino,13,Premium,88.86,43,113,9,2.5,1.5,2.4,Sudeste
CLI-00231,38,Masculino,25,Basico,40.32,23,97,6,2.6,4.6,1.9,Leste
CLI-00232,54,Feminino,55,Familia,26.94,41,74,8,1.3,1.3,1.1,Norte
CLI-00233,60,Masculino,5,Premium,33.54,33,90,5,3.7,2.6,2.7,Norte
CLI-00234,45,Feminino,12,Premium,74.61,38,7,0,3.4,4.5,2.5,Leste
CLI-00235,59,Masculino,27,Basico,42.33,44,99,3,4.6,2.7,3.6,Oeste
CLI-00236,42,Feminino,36,Basico,43.31,22,67,5,1.9,3.0,3.0,Leste
CLI-00237,60,Masculino,13,Premium,21.53,36,120,10,4.8,1.1,3.7,Norte
CLI-00238,20,Feminino,38,Familia,99.52,40,97,9,4.8,1.0,4.3,Oeste
CLI-00239,79,Feminino,6,Familia,25.45,5,29,8,1.2,4.4,1.6,Oeste
CLI-00240,29,Feminino,44,Familia,99.79,30,109,3,3.8,2.9,3.8,Sudeste
CLI-00241,33,Feminino,2,Premium,56.9,8,115,1,3.4,3.4,1.1,Sul
CLI-00242,64,Feminino,11,Familia,26.24,35,9,2,3.0,2.4,1.3,Norte
CLI-00243,56,Masculino,50,Premium,53.71,34,94,5,2.0,4.3,4.0,Leste
CLI-00244,78,Masculino,17,Premium,30.94,46,29,4,4.2,4.5,3.2,Leste
CLI-00245,18,Feminino,25,Premium,58.33,14,105,10,4.6,2.2,2.0,Oeste
CLI-00246,41,Feminino,39,Familia,97.14,1,63,6,4.8,3.1,2.2,Norte
CLI-00247,33,Masculino,26,Familia,25.71,8,63,1,3.2,4.9,4.3,Oeste
CLI-00248,77,Masculino,18,Familia,34.28,4,119,9,3.0,3.9,1.7,Norte
CLI-00249,29,Feminino,1,Familia,24.84,18,63,5,1.1,2.1,3.6,Norte
CLI-00250,47,Feminino,38,Basico,94.06,30,31,7,3.5,3.5,3.1,Norte
CLI-00251,53,Masculino,57,Premium,80.56,11,18,4,3.1,1.5,1.4,Sul
CLI-00252,63,Masculino,56,Familia,39.37,15,7,3,1.4,4.5,2.7,Sudeste
CLI-00253,71,Feminino,54,Familia,91.75,30,115,9,3.4,2.6,4.1,Norte
CLI-00254,37,Feminino,28,Basico,65.79,29,70,10,2.2,1.7,1.6,Leste
CLI-00255,67,Feminino,17,Familia,26.89,12,75,5,3.9,4.2,1.9,Oeste
CLI-00256,45,Masculino,21,Basico,73.08,12,93,3,1.1,4.0,4.6,Leste
CLI-00257,64,Feminino,43,Familia,25.02,50,83,2,4.4,3.2,3.0,Oeste
CLI-00258,77,Feminino,17,Familia,34.44,49,111,4,3.0,2.2,5.0,Sul
CLI-00259,54,Masculino,8,Familia,94.59,14,108,7,4.2,4.6,2.5,Sul
CLI-00260,64,Feminino,24,Familia,28.63,38,66,5,1.7,2.1,2.9,Leste
CLI-00261,68,Masculino,12,Premium,87.3,29,28,10,2.3,4.8,4.6,Sudeste
CLI-00262,65,Feminino,17,Premium,32.16,13,47,10,2.7,2.4,1.3,Oeste
CLI-00263,55,Feminino,28,Basico,27.21,8,23,2,1.8,4.0,4.4,Sul
CLI-00264,59,Feminino,17,Basico,49.84,10,59,8,1.8,4.4,4.6,Leste
CLI-00265,28,Masculino,50,Basico,85.09,27,21,1,2.0,1.1,2.6,Leste
CLI-00266,30,Masculino,22,Basico,34.83,15,91,7,3.6,3.8,4.4,Oeste
CLI-00267,41,Feminino,15,Premium,85.37,10,113,3,3.8,2.3,3.5,Leste
CLI-00268,55,Masculino,30,Premium,62.38,31,112,2,2.4,4.2,4.3,Norte
CLI-00269,59,Masculino,3,Familia,43.69,11,20,0,2.0,1.4,1.1,Norte
CLI-00270,70,Feminino,55,Familia,78.97,42,104,8,2.8,2.0,2.7,Sudeste
CLI-00271,61,Masculino,25,Familia,67.42,19,100,3,3.3,3.7,4.4,Sudeste
CLI-00272,34,Masculino,26,Basico,36.6,18,15,5,2.4,2.7,1.8,Sudeste
CLI-00273,78,Feminino,15,Premium,92.7,23,69,3,2.7,4.9,4.1,Norte
CLI-00274,77,Feminino,18,Premium,67.89,32,87,1,1.9,1.4,1.6,Sudeste
CLI-00275,34,Feminino,56,Basico,98.2,49,20,7,2.5,3.3,1.9,Norte
CLI-00276,37,Masculino,8,Basico,88.13,5,27,3,3.3,2.8,1.9,Leste
CLI-00277,73,Masculino,38,Basico,77.57,49,80,1,4.0,4.7,3.7,Norte
CLI-00278,28,Feminino,33,Premium,92.92,44,106,1,1.6,2.3,2.7,Leste
CLI-00279,41,Masculino,7,Premium,36.51,46,114,1,4.5,1.4,2.5,Leste
CLI-00280,40,Masculino,38,Premium,35.53,5,62,4,4.7,4.5,2.8,Sudeste
CLI-00281,51,Masculino,46,Familia,96.96,46,38,2,2.7,1.5,4.5,Oeste
CLI-00282,43,Feminino,32,Basico,76.29,21,85,1,2.4,1.3,2.0,Leste
CLI-00283,34,Masculino,7,Premium,30.58,28,99,1,3.5,1.5,4.7,Sudeste
CLI-00284,58,Masculino,28,Familia,75.3,45,65,3,3.0,4.6,1.6,Oeste
CLI-00285,70,Masculino,48,Familia,35.58,27,41,1,2.6,1.2,3.8,Norte
CLI-00286,48,Feminino,39,Familia,21.91,11,69,0,3.9,3.6,1.1,Sudeste
CLI-00287,70,Feminino,52,Premium,61.23,21,63,9,2.0,3.9,2.8,Sudeste
CLI-00288,31,Feminino,34,Familia,87.72,7,30,6,3.0,2.0,2.2,Leste
CLI-00289,74,Feminino,2,Basico,71.88,46,115,1,3.0,4.5,3.9,Leste
CLI-00290,65,Feminino,22,Familia,46.98,43,115,4,1.4,1.0,3.9,Sudeste
CLI-00291,71,Masculino,1,Familia,62.46,14,37,9,3.5,1.8,1.7,Sul
CLI-00292,33,Feminino,35,Basico,46.38,2,94,10,3.7,2.5,2.8,Sul
CLI-00293,40,Feminino,31,Familia,59.01,42,34,3,4.4,4.5,4.1,Leste
CLI-00294,63,Masculino,4,Basico,42.49,15,73,7,5.0,3.7,2.0,Sul
