idade,genero,regiao,tipo_contrato,metodo_pagamento,plano_assinatura,valor_mensal,tempo_assinatura_meses,dias_ultimo_acesso,acessibilidade,contatos_suporte,visualizacoes_mes,tempo_medio_sessao_min,dispositivo_principal,categoria_favorita,avaliacao_conteudo_media,avaliacao_conteudo_ultimo_mes,avaliacao_plataforma,tem_avaliacao_conteudo_media,tem_avaliacao_conteudo_ultimo_mes,tem_avaliacao_plataforma,visualizacoes_por_dia,engajamento_score,risco_score,inativo_flag
22,0,3,0,2,2,38.0,18,48,0,2,0,12,1,3,1.0,,5.0,1,0,1,0.0,0.0192771084337349,0.1875,1
48,2,3,1,2,2,49.9,8,29,0,1,1,22,2,5,2.0,1.0,3.5,1,1,1,0.0333333333333333,0.0391149503675077,0.13125,0
44,1,3,0,2,2,38.0,7,43,0,2,0,97,0,1,4.0,,,1,0,0,0.0,0.1558232931726907,0.2249999999999999,1
30,1,0,1,5,0,24.9,9,52,0,1,0,38,1,3,2.0,,,1,0,0,0.0,0.0610441767068273,0.26875,1
43,1,0,1,4,0,24.9,33,15,0,0,16,36,2,2,1.5,,3.0,1,0,1,0.5333333333333333,0.1182086837917708,0.0,0
35,1,4,1,3,1,38.0,1,12,0,1,44,72,2,4,,3.5,3.5,0,1,1,1.4666666666666666,0.2817003864514662,0.0687499999999999,0
37,1,3,0,2,0,22.0,2,15,0,2,59,74,2,5,4.0,3.0,4.0,1,1,1,1.9666666666666663,0.3415170114419943,0.0812499999999999,0
53,0,0,1,2,1,38.0,3,56,0,1,0,43,3,2,2.0,,5.0,1,0,1,0.0,0.0690763052208835,0.33125,1
40,0,3,1,4,1,38.0,23,23,0,4,11,131,0,2,,5.0,5.0,0,1,1,0.3666666666666666,0.2519512010305372,0.0,0
66,1,4,1,1,1,38.0,35,4,0,0,28,105,1,5,4.0,4.5,1.5,1,1,1,0.9333333333333332,0.2743350761536713,0.0,0
36,4,3,1,4,0,24.9,0,1,0,3,97,124,0,5,,5.0,1.0,0,1,1,3.2333333333333334,0.565234522997651,0.0062499999999999,0
37,1,4,0,2,2,38.0,25,13,0,0,60,5,2,1,4.5,,2.5,1,0,1,2.0,0.2344472228536788,0.0,0
38,0,1,1,2,0,24.9,8,41,0,1,0,82,3,5,4.0,,3.0,1,0,1,0.0,0.131726907630522,0.20625,1
39,0,0,0,2,2,38.0,13,24,0,1,14,78,3,5,4.0,4.5,,1,1,0,0.4666666666666667,0.1781313934985224,0.06875,0
46,0,3,0,2,2,38.0,15,85,0,0,0,51,3,0,,,5.0,0,0,1,0.0,0.0819277108433735,0.4374999999999999,1
30,0,3,1,1,0,24.9,14,4,0,0,91,88,0,2,,,,0,0,0,3.033333333333333,0.4847616882624839,0.0,0
28,0,3,0,2,1,32.0,9,38,1,0,0,130,1,3,4.0,,4.5,1,0,1,0.0,0.2088353413654619,0.18125,1
33,0,0,1,2,0,24.9,8,16,0,0,53,33,2,2,4.0,,1.5,1,0,1,1.7666666666666666,0.253012048192771,0.0499999999999999,0
44,1,3,1,3,2,49.9,0,0,0,0,45,126,2,5,,,4.0,0,0,1,1.5,0.3722209593089338,0.0,0
44,0,4,1,3,0,24.9,23,7,0,1,41,151,3,0,4.0,3.0,3.5,1,1,1,1.3666666666666667,0.3972872622565734,0.0,0
39,2,1,0,2,1,32.0,7,37,1,3,0,77,1,5,3.5,,1.5,1,0,1,0.0,0.1236947791164658,0.1874999999999999,1
41,1,3,1,4,0,24.9,0,0,0,2,47,74,3,1,,3.5,2.0,0,1,1,1.5666666666666669,0.2962339925740698,0.0,0
18,0,3,0,2,2,38.0,6,38,0,0,0,64,2,5,,,2.5,0,0,1,0.0,0.1028112449799196,0.1999999999999999,1
62,1,4,0,2,1,32.0,2,33,0,1,0,104,3,5,4.0,,3.0,1,0,1,0.0,0.1670682730923695,0.1937499999999999,0
55,1,0,0,2,1,32.0,39,36,0,1,0,80,3,2,1.0,,1.5,1,0,1,0.0,0.1285140562248996,0.0,1
32,0,1,0,2,2,38.0,42,10,0,1,71,40,0,1,4.0,5.0,3.5,1,1,1,2.3666666666666667,0.3321815564143366,0.0,0
69,0,3,1,2,0,24.9,31,30,0,1,10,71,3,5,3.5,4.5,4.5,1,1,1,0.3333333333333333,0.1517920739562021,0.0,0
56,1,4,0,2,1,32.0,10,35,0,0,0,100,1,5,4.0,,2.5,1,0,1,0.0,0.1606425702811245,0.15625,1
51,1,1,1,1,0,24.9,48,31,0,1,0,93,3,5,4.0,,2.5,1,0,1,0.0,0.1493975903614458,0.0,0
19,0,4,1,5,0,24.9,37,44,0,2,0,65,3,0,,,2.5,0,0,1,0.0,0.1044176706827309,0.0437499999999999,1
36,0,1,1,1,1,38.0,6,19,0,2,64,64,1,1,4.0,5.0,2.5,1,1,1,2.1333333333333333,0.3443206789421838,0.0812499999999999,0
22,1,2,1,4,0,24.9,3,13,0,1,63,36,3,5,4.0,3.5,3.5,1,1,1,2.1,0.2955671743578086,0.0625,0
24,1,3,0,2,2,38.0,1,28,0,2,14,130,1,5,,,3.5,0,0,1,0.4666666666666667,0.2616655300447071,0.1687499999999999,0
49,4,4,1,5,0,24.9,11,34,0,1,0,42,3,3,4.0,,,1,0,0,0.0,0.0674698795180722,0.14375,0
18,1,4,1,5,1,38.0,17,43,0,3,0,33,1,3,2.0,,,1,0,0,0.0,0.053012048192771,0.1624999999999999,1
39,0,4,0,2,2,38.0,26,44,0,3,0,57,1,3,4.0,,3.5,1,0,1,0.0,0.0915662650602409,0.1124999999999999,1
25,1,4,0,2,1,32.0,16,29,0,3,3,29,1,5,,2.5,3.0,0,1,1,0.1,0.0579071000985072,0.08125,0
34,0,3,1,1,0,24.9,18,20,1,0,84,63,3,2,4.0,,,1,0,0,2.8,0.4181859513525801,0.0125,0
28,4,3,1,1,0,24.9,48,14,0,0,2,31,3,5,1.5,1.5,2.5,1,1,1,0.0666666666666666,0.0573463665984693,0.0,0
27,2,4,0,2,2,38.0,16,31,1,1,0,110,2,5,4.0,,5.0,1,0,1,0.0,0.1767068273092369,0.09375,0
22,1,3,1,2,2,49.9,18,28,0,1,12,114,0,1,4.5,3.0,4.0,1,1,1,0.4,0.2284155489884064,0.0625,0
20,1,3,0,2,1,32.0,2,12,0,0,51,80,1,3,4.0,,,1,0,0,1.7,0.3209668864135788,0.0625,0
45,0,0,1,2,0,24.9,6,11,0,3,41,144,0,5,4.0,4.5,,1,1,0,1.3666666666666667,0.3860422823368947,0.0312499999999999,0
24,2,3,1,1,0,24.9,5,29,0,2,5,32,3,1,2.0,,4.0,1,0,1,0.1666666666666666,0.0702735470182617,0.15,0
57,1,0,1,2,0,24.9,36,11,0,0,46,83,0,5,1.0,4.0,,1,1,0,1.5333333333333334,0.3069182389937107,0.0,0
40,3,1,0,2,1,32.0,0,0,0,1,66,80,0,3,,5.0,,0,1,0,2.2,0.3775706599984845,0.0,0
39,0,4,1,2,1,38.0,48,42,0,0,0,82,1,3,4.5,,2.5,1,0,1,0.0,0.131726907630522,0.0,1
31,1,0,0,2,1,32.0,10,11,0,0,95,70,2,1,4.5,4.5,1.5,1,1,1,3.1666666666666665,0.470940365234523,0.0062499999999999,0
33,0,3,1,2,0,24.9,39,35,0,1,0,49,3,2,4.5,,,1,0,0,0.0,0.078714859437751,0.0,1
47,1,3,0,2,2,38.0,8,18,0,0,93,91,3,2,5.0,3.5,3.5,1,1,1,3.1,0.4971281351822383,0.0625,0
47,0,0,1,1,1,38.0,5,25,0,2,2,17,3,0,3.5,1.0,5.0,1,1,1,0.0666666666666666,0.0348564067591119,0.125,0
32,1,3,1,5,0,24.9,25,28,0,1,17,116,3,1,4.5,,4.5,1,0,1,0.5666666666666667,0.2504963249223308,0.0187499999999999,0
18,0,3,1,5,1,38.0,0,0,0,1,61,64,1,0,,,3.5,0,0,1,2.033333333333333,0.3329999242252027,0.0,0
19,1,3,1,3,1,38.0,4,1,0,2,75,102,0,5,,,3.5,0,0,1,2.5,0.4468742896112753,0.0,0
42,4,4,1,1,0,24.9,4,33,0,1,0,37,1,2,1.5,,2.0,1,0,1,0.0,0.059437751004016,0.18125,0
55,0,4,1,2,0,24.9,2,43,0,0,0,118,3,5,,,,0,0,0,0.0,0.1895582329317269,0.25625,1
27,0,4,1,2,0,24.9,19,37,0,0,0,138,0,2,,,,0,0,0,0.0,0.2216867469879518,0.1124999999999999,1
29,0,3,1,2,1,38.0,0,0,0,1,73,172,3,5,,3.0,3.0,0,1,1,2.433333333333333,0.5517769189967416,0.0,0
42,1,3,0,2,2,38.0,10,18,0,0,39,30,1,2,4.5,,1.0,1,0,1,1.3,0.195362582405092,0.05,0
53,4,3,1,5,1,38.0,1,27,0,1,9,52,2,5,,4.5,2.0,0,1,1,0.3,0.1174964006971281,0.1624999999999999,0
33,0,4,0,2,2,38.0,26,44,1,0,0,31,3,1,,,3.0,0,0,1,0.0,0.0497991967871485,0.1124999999999999,1
53,4,3,0,2,1,32.0,3,16,0,0,53,58,2,5,4.0,5.0,4.5,1,1,1,1.7666666666666666,0.2931726907630522,0.0812499999999999,0
35,0,1,0,2,1,32.0,14,30,0,1,11,79,1,1,4.0,,3.0,1,0,1,0.3666666666666666,0.1684170644843525,0.0999999999999999,0
69,0,3,0,2,2,38.0,6,29,0,0,15,129,2,2,4.0,,3.0,1,0,1,0.5,0.2638326892475562,0.14375,0
61,1,3,1,1,0,24.9,5,8,0,2,59,171,3,1,4.0,,,1,0,0,1.9666666666666663,0.4973403046146851,0.0187499999999999,0
28,1,3,0,2,2,38.0,5,16,0,2,27,136,0,1,,5.0,2.5,0,1,1,0.9,0.3203606880351595,0.0687499999999999,0
29,1,4,1,5,1,38.0,2,23,0,2,19,85,2,2,4.0,,,1,0,0,0.6333333333333333,0.208244297946503,0.1312499999999999,0
50,1,4,1,1,0,24.9,3,29,0,2,3,10,1,0,2.0,1.5,4.0,1,1,1,0.1,0.0273850117450935,0.1625,0
35,0,4,0,2,1,32.0,48,32,0,2,0,121,1,5,2.0,,2.0,1,0,1,0.0,0.1943775100401606,0.0,0
42,1,3,0,2,1,32.0,16,23,0,1,4,33,3,2,1.5,3.5,,1,1,0,0.1333333333333333,0.0681063878154126,0.04375,0
19,0,3,0,2,2,38.0,7,17,0,2,87,54,2,2,3.5,4.5,2.5,1,1,1,2.9,0.41504887474426,0.0624999999999999,0
24,0,4,1,1,1,38.0,10,75,0,3,0,27,0,5,,,3.5,0,0,1,0.0,0.0433734939759036,0.4062499999999999,1
18,1,4,1,3,0,24.9,1,19,0,1,6,14,1,0,,1.5,1.5,0,1,1,0.2,0.0451314692733196,0.1124999999999999,0
36,2,3,1,1,1,38.0,23,22,0,0,5,22,2,5,,2.5,1.5,0,1,1,0.1666666666666666,0.0542092899901492,0.0,0
38,1,3,1,3,0,24.9,32,38,0,1,0,90,1,1,,,2.0,0,0,1,0.0,0.144578313253012,0.0375,1
49,1,4,1,3,0,24.9,6,20,0,1,81,102,1,0,,4.5,3.0,0,1,1,2.7,0.4695157990452375,0.0875,0
29,4,3,0,2,2,38.0,41,13,0,0,75,83,1,4,4.0,3.5,,1,1,0,2.5,0.4163522012578616,0.0,0
40,1,4,0,2,2,38.0,10,16,0,4,71,99,3,4,4.0,4.0,4.5,1,1,1,2.3666666666666667,0.4269606728802,0.0374999999999999,0
32,0,4,1,3,0,24.9,12,5,0,2,86,145,1,1,4.0,,3.0,1,0,1,2.8666666666666667,0.5574600287944229,0.0,0
51,1,0,1,3,0,24.9,5,10,0,0,49,115,2,0,,,2.0,0,0,1,1.6333333333333333,0.3696446162006517,0.03125,0
34,0,0,0,2,2,38.0,37,18,0,6,71,169,1,4,3.5,4.5,,1,1,0,2.3666666666666667,0.5394104720769872,0.0,0
45,1,1,1,1,1,38.0,8,40,0,2,0,17,2,4,2.0,,2.0,1,0,1,0.0,0.0273092369477911,0.2,1
31,0,1,1,2,0,24.9,22,17,0,1,87,103,2,5,,,,0,0,0,2.9,0.493763734182011,0.0,0
48,4,1,1,0,0,24.9,1,13,0,2,76,133,3,3,,,1.0,0,0,1,2.533333333333333,0.5004470713040843,0.075,0
29,4,3,1,3,2,49.9,0,1,0,0,46,106,1,5,,4.5,4.5,0,1,1,1.5333333333333334,0.3438660301583693,0.0062499999999999,0
42,0,3,1,2,0,24.9,45,65,0,0,0,31,2,5,,,3.5,0,0,1,0.0,0.0497991967871485,0.125,1
60,1,4,1,1,1,38.0,7,24,0,4,2,35,0,5,3.0,,4.0,1,0,1,0.0666666666666666,0.0637720694097143,0.1062499999999999,0
25,0,1,1,1,0,24.9,14,15,0,1,58,106,0,0,4.0,,4.0,1,0,1,1.9333333333333331,0.3891490490262939,0.0062499999999999,0
33,1,3,1,1,1,38.0,4,9,0,1,20,20,2,5,2.0,,3.0,1,0,1,0.6666666666666666,0.1076002121694324,0.03125,0
27,4,1,1,2,1,38.0,3,24,0,2,8,127,0,5,3.5,4.0,2.0,1,1,1,0.2666666666666666,0.2342047435023111,0.13125,0
32,1,3,1,2,0,24.9,17,28,0,2,11,79,1,1,,4.5,1.0,0,1,1,0.3666666666666666,0.1684170644843525,0.0687499999999999,0
65,0,0,1,2,0,24.9,5,53,0,1,0,10,1,1,1.5,,4.5,1,0,1,0.0,0.0160642570281124,0.3,1
51,1,1,1,1,2,49.9,12,37,0,1,0,20,3,5,2.0,,3.5,1,0,1,0.0,0.0321285140562249,0.15625,1
23,1,4,1,2,0,24.9,18,25,0,0,8,111,3,3,,,2.0,0,0,1,0.2666666666666666,0.2085019322573312,0.04375,0
55,1,0,1,5,0,24.9,3,54,0,2,0,39,3,1,,,,0,0,0,0.0,0.0626506024096385,0.31875,1
53,1,4,1,5,0,24.9,3,18,0,3,12,46,3,5,3.0,,4.0,1,0,1,0.4,0.1191786011972418,0.09375,0
51,4,3,1,1,0,24.9,0,1,0,1,64,143,2,0,,3.5,,0,1,0,2.1333333333333333,0.4712283094642722,0.0062499999999999,0
27,0,0,1,2,1,38.0,42,11,0,0,48,53,1,5,3.5,,1.5,1,0,1,1.6,0.2662726377206941,0.0,0
18,0,3,0,2,2,38.0,3,23,0,1,3,75,1,1,4.5,4.5,,1,1,0,0.1,0.1318026824278245,0.1249999999999999,0
26,4,1,1,2,0,24.9,1,14,0,2,112,75,1,1,,4.0,1.0,0,1,1,3.733333333333333,0.5431234371448056,0.0812499999999999,0
37,0,3,1,5,0,24.9,12,49,0,1,0,18,3,5,1.5,,2.5,1,0,1,0.0,0.0289156626506024,0.2312499999999999,1
43,1,0,0,2,2,38.0,5,12,0,3,113,21,1,0,4.0,5.0,1.5,1,1,1,3.7666666666666666,0.4601500340986587,0.04375,0
31,0,2,0,2,2,38.0,12,8,0,1,54,157,1,2,4.0,,4.5,1,0,1,1.8,0.4559824202470258,0.0,0
41,3,4,1,2,1,38.0,3,54,0,1,0,44,2,0,,,1.0,0,0,1,0.0,0.0706827309236947,0.31875,1
44,1,3,0,2,1,32.0,16,35,0,0,0,83,1,0,4.0,,4.0,1,0,1,0.0,0.1333333333333333,0.11875,1
55,0,2,1,3,1,38.0,6,14,0,1,108,115,2,5,4.0,,3.5,1,0,1,3.6,0.5922861256346139,0.0499999999999999,0
37,0,3,1,5,0,24.9,2,32,0,1,0,28,3,0,4.0,,1.0,1,0,1,0.0,0.0449799196787148,0.1874999999999999,0
29,0,3,1,2,2,49.9,6,10,0,3,98,122,2,2,5.0,,,1,0,0,3.2666666666666666,0.5657952564976889,0.025,0
50,0,1,1,0,0,24.9,13,8,0,2,10,18,3,1,2.0,2.5,,1,1,0,0.3333333333333333,0.0666515117072061,0.0,0
39,1,3,1,5,2,49.9,9,20,0,1,84,52,3,3,4.5,3.0,,1,1,0,2.8,0.4005152686216564,0.06875,0
28,0,3,1,1,0,24.9,18,10,0,0,81,93,1,1,,5.0,,0,1,0,2.7,0.4550579677199363,0.0,0
18,4,3,0,2,2,38.0,19,43,0,1,0,95,1,2,,,1.0,0,0,1,0.0,0.1526104417670682,0.15,1
18,0,1,1,2,0,24.9,42,13,0,2,75,32,1,3,3.5,,1.0,1,0,1,2.5,0.3344244904144881,0.0,0
18,0,3,0,2,1,32.0,0,0,0,2,58,44,3,0,,,1.0,0,0,1,1.9333333333333331,0.2895506554519966,0.0,0
37,1,2,1,2,0,24.9,4,43,0,0,0,114,3,0,,,2.5,0,0,1,0.0,0.1831325301204819,0.24375,1
27,1,1,0,2,2,38.0,4,21,0,2,19,113,1,3,,5.0,5.0,0,1,1,0.6333333333333333,0.2532242176252178,0.1062499999999999,0
45,0,3,1,1,0,24.9,12,35,0,3,0,51,1,0,,,5.0,0,0,1,0.0,0.0819277108433735,0.14375,1
49,0,4,1,2,0,24.9,20,50,0,1,0,111,3,1,,,2.0,0,0,1,0.0,0.1783132530120482,0.1875,1
29,1,3,0,2,2,38.0,28,17,0,0,32,85,1,2,4.0,3.5,5.0,1,1,1,1.0666666666666669,0.2573009017200879,0.0,0
18,1,1,1,2,0,24.9,17,32,0,3,0,26,3,0,2.5,,5.0,1,0,1,0.0,0.0417670682730923,0.0937499999999999,0
38,0,4,1,5,0,24.9,2,15,0,1,88,36,1,5,,,4.5,0,0,1,2.933333333333333,0.389906796999318,0.0812499999999999,0
50,1,0,1,2,0,24.9,8,26,0,4,4,29,2,5,2.0,1.5,,1,1,0,0.1333333333333333,0.0616806850041676,0.1125,0
53,0,4,0,2,1,32.0,26,24,0,2,15,35,1,2,4.0,,4.0,1,0,1,0.5,0.1128286731832992,0.0,0
41,1,0,0,2,0,22.0,0,0,0,2,79,78,3,2,,4.0,3.5,0,1,1,2.6333333333333333,0.4234144123664469,0.0,0
48,0,1,0,2,1,32.0,5,6,1,0,13,75,3,5,3.0,5.0,,1,1,0,0.4333333333333333,0.1695385314844283,0.0062499999999999,0
50,1,4,1,2,0,24.9,25,33,1,2,0,58,1,4,4.5,,1.0,1,0,1,0.0,0.0931726907630522,0.0499999999999999,0
43,0,3,1,2,1,38.0,8,17,1,0,118,72,1,5,4.0,4.0,2.5,1,1,1,3.933333333333333,0.5609456694703341,0.0562499999999999,0
59,1,3,1,2,0,24.9,19,4,0,0,115,40,0,5,,3.0,5.0,0,1,1,3.8333333333333335,0.4982192922633932,0.0,0
64,1,1,1,5,0,24.9,48,21,0,2,11,63,1,2,4.0,,3.0,1,0,1,0.3666666666666666,0.1427142532393726,0.0,0
39,1,0,0,2,2,38.0,9,20,1,0,90,68,1,2,3.5,4.0,1.5,1,1,1,3.0,0.4488595893005986,0.06875,0
23,0,3,0,2,2,38.0,8,13,0,0,22,82,3,5,,3.5,4.5,0,1,1,0.7333333333333333,0.2147457755550503,0.03125,0
21,3,3,0,2,0,22.0,13,9,0,0,69,99,3,1,4.0,4.0,1.0,1,1,1,2.3,0.4194135030688793,0.0,0
38,1,3,1,5,2,49.9,37,35,0,2,0,85,1,4,2.5,,1.0,1,0,1,0.0,0.1365461847389558,0.0,1
41,0,0,1,1,0,24.9,18,41,0,3,0,13,1,5,1.5,,3.0,1,0,1,0.0,0.0208835341365461,0.14375,1
53,0,0,1,2,0,24.9,1,14,0,0,45,125,0,0,,5.0,2.5,0,1,1,1.5,0.3706145336061226,0.0812499999999999,0
18,2,4,1,2,0,24.9,34,67,0,0,0,9,0,2,2.0,,4.0,1,0,1,0.0,0.0144578313253012,0.2062499999999999,1
62,0,3,1,2,0,24.9,0,1,1,1,43,165,3,2,,3.5,3.0,0,1,1,1.4333333333333331,0.4273243919072517,0.0062499999999999,0
29,4,0,0,2,2,38.0,3,26,0,0,15,69,1,3,4.0,3.0,2.5,1,1,1,0.5,0.1674471470788816,0.14375,0
53,4,4,1,4,1,38.0,1,10,0,1,50,85,1,2,,3.5,4.5,0,1,1,1.6666666666666667,0.3252254300219747,0.05625,0
20,0,4,1,2,0,24.9,15,11,0,1,113,68,1,1,3.5,,1.0,1,0,1,3.7666666666666666,0.5356520421307873,0.0,0
58,1,4,1,5,1,38.0,12,50,0,0,0,12,3,1,2.0,,3.0,1,0,1,0.0,0.0192771084337349,0.2375,1
48,0,1,1,3,1,38.0,20,25,0,2,4,22,1,2,,,1.0,0,0,1,0.1333333333333333,0.0504357050844889,0.03125,0
27,0,0,1,3,1,38.0,8,34,0,1,0,39,3,1,,,3.0,0,0,1,0.0,0.0626506024096385,0.1624999999999999,0
35,0,4,0,2,2,38.0,22,7,0,1,33,138,1,5,4.0,3.5,2.5,1,1,1,1.1,0.3462150488747443,0.0,0
31,0,0,1,2,0,24.9,1,17,1,0,10,37,1,5,,1.0,4.0,0,1,1,0.3333333333333333,0.0971736000606198,0.0999999999999999,0
37,1,4,0,2,0,22.0,25,23,0,0,7,112,0,5,4.0,4.0,4.5,1,1,1,0.2333333333333333,0.206334773054482,0.0,0
48,1,3,1,1,0,24.9,7,10,0,1,7,30,0,5,2.0,2.0,2.0,1,1,1,0.2333333333333333,0.0746078654239599,0.0187499999999999,0
32,1,1,1,1,2,49.9,8,17,0,2,108,79,1,2,,,3.5,0,0,1,3.6,0.5344548003334091,0.0562499999999999,0
34,0,3,0,2,1,32.0,29,21,0,2,15,25,3,2,4.0,,,1,0,0,0.5,0.0967644161551867,0.0,0
32,4,4,1,2,1,38.0,4,10,0,1,0,92,0,1,4.0,4.0,3.5,1,1,1,0.0,0.1477911646586345,0.0375,0
18,0,3,1,3,1,38.0,7,9,0,0,43,137,1,5,4.0,3.0,1.5,1,1,1,1.4333333333333331,0.3823444722285367,0.0124999999999999,0
29,1,1,1,2,1,38.0,40,8,0,1,18,83,1,5,4.0,4.5,4.0,1,1,1,0.6,0.2012578616352201,0.0,0
43,4,1,1,5,1,38.0,5,22,0,2,0,5,0,0,2.0,2.5,4.0,1,1,1,0.0,0.0080321285140562,0.1062499999999999,0
40,1,3,1,4,0,24.9,4,20,0,0,6,35,1,0,2.0,,,1,0,0,0.2,0.0788664090323558,0.1,0
29,0,3,0,2,1,32.0,5,64,0,0,0,72,2,5,,,2.5,0,0,1,0.0,0.1156626506024096,0.3687499999999999,1
18,1,4,1,1,2,49.9,3,12,0,4,75,96,3,0,2.5,4.5,,1,1,0,2.5,0.4372357353944078,0.0562499999999999,0
30,0,3,1,1,0,24.9,8,12,0,0,0,118,2,5,,,1.0,0,0,1,0.0,0.1895582329317269,0.025,0
37,1,4,0,2,2,38.0,9,6,0,2,62,28,3,0,4.0,,,1,0,0,2.066666666666667,0.2789421838296582,0.0,0
22,4,4,1,1,2,49.9,1,7,0,3,23,9,3,0,,2.5,3.5,0,1,1,0.7666666666666667,0.1012502841554898,0.0375,0
34,1,1,0,2,2,38.0,0,0,0,0,25,7,3,5,,3.0,4.5,0,1,1,0.8333333333333334,0.1055846025611881,0.0,0
22,1,0,1,0,0,24.9,0,0,0,1,32,120,1,5,,5.0,,0,1,0,1.0666666666666669,0.3135258013184815,0.0,0
33,1,4,1,1,1,38.0,30,27,0,0,4,27,3,1,2.0,1.0,3.0,1,1,1,0.1333333333333333,0.0584678335985451,0.0,0
50,1,3,1,5,0,24.9,20,32,0,6,0,22,3,2,,,5.0,0,0,1,0.0,0.0353413654618473,0.0749999999999999,0
38,0,3,1,2,0,24.9,6,3,0,0,32,68,1,2,1.0,,2.0,1,0,1,1.0666666666666669,0.2299916647722967,0.0,0
38,0,1,1,2,1,38.0,19,20,0,1,86,104,0,4,,3.0,1.0,0,1,1,2.8666666666666667,0.4915965749791619,0.00625,0
38,1,1,0,2,2,38.0,5,39,0,1,0,140,3,5,4.0,,2.0,1,0,1,0.0,0.2248995983935743,0.2124999999999999,1
