clienteId,idade,genero,regiao,planoAssinatura,valorMensal,tipoContrato,tempoMedioSessaoMin,diasUltimoAcesso,avaliacaoConteudoUltimoMes,visualizacoesMes
8adcc69d,55,Feminino,Norte,basico,29.9,MENSAL,27,18,3,11
d38859fe,60,Feminino,Sul,padrao,49.9,MENSAL,9,59,1,3
e19d8e30,27,Feminino,Nordeste,basico,49.9,MENSAL,10,16,2,10
e3a1ee83,54,Masculino,Centro-Oeste,basico,49.9,ANUAL,29,18,2,15
ec8b4910,19,Masculino,Centro-Oeste,padrao,79.9,ANUAL,54,3,4,30
d5cf0813,59,Masculino,Sul,padrao,49.9,ANUAL,46,1,5,74
ddda3329,59,Masculino,Sul,padrao,79.9,ANUAL,85,0,5,47
4c382114,58,Feminino,Sul,padrao,29.9,MENSAL,3,52,1,2
40ee4fd8,55,Masculino,Norte,basico,29.9,MENSAL,3,15,1,2
8d1a79a9,31,Feminino,Sul,premium,49.9,ANUAL,117,1,5,32
5c23155f,55,Masculino,Nordeste,padrao,49.9,ANUAL,95,3,5,67
174bd89b,52,Masculino,Nordeste,padrao,49.9,MENSAL,15,10,2,15
da3f2990,38,Feminino,Centro-Oeste,premium,49.9,ANUAL,56,3,4,53
62dccf07,46,Feminino,Sul,basico,29.9,MENSAL,8,15,1,0
fffdb341,20,Feminino,Sul,padrao,29.9,ANUAL,14,15,3,7
edc4f26b,29,Masculino,Norte,basico,79.9,MENSAL,23,9,2,7
ca2302cd,21,Feminino,Nordeste,basico,29.9,MENSAL,3,54,1,4
48363568,49,Feminino,Nordeste,basico,49.9,MENSAL,10,39,1,4
f776aa28,32,Feminino,Sudeste,padrao,49.9,ANUAL,86,2,5,42
9a2ef0ac,23,Masculino,Centro-Oeste,padrao,79.9,ANUAL,96,3,5,48
32a15a4a,27,Feminino,Sul,padrao,49.9,ANUAL,87,2,5,79
1bfe8198,41,Feminino,Norte,premium,79.9,ANUAL,25,17,2,11
