clienteId,idade,genero,regiao,planoAssinatura,valorMensal,tipoContrato,tempoMedioSessaoMin,diasUltimoAcesso,avaliacaoConteudoUltimoMes,visualizacoesMes
8323fd7e,58,Feminino,Norte,basico,49.9,MENSAL,27,8,3,9
b85d8600,59,Masculino,Norte,padrao,49.9,ANUAL,29,17,3,12
6d3673b0,38,Masculino,Sudeste,padrao,79.9,ANUAL,90,3,4,98
4e374b56,29,Masculino,Norte,padrao,29.9,MENSAL,1,27,1,5
292a4c67,18,Feminino,Nordeste,premium,79.9,ANUAL,46,1,4,27
c099c0f8,56,Masculino,Nordeste,basico,29.9,MENSAL,6,16,1,0
1ff04067,45,Feminino,Centro-Oeste,premium,79.9,ANUAL,19,17,2,15
5b9338c8,27,Feminino,Norte,premium,29.9,ANUAL,13,19,2,6
05044d5e,51,Masculino,Nordeste,basico,49.9,MENSAL,6,22,1,5
3603ad80,56,Feminino,Centro-Oeste,premium,29.9,MENSAL,28,19,2,7
d79fec56,23,Masculino,Nordeste,basico,49.9,MENSAL,0,43,1,3
4f9bdae6,53,Feminino,Sudeste,padrao,49.9,ANUAL,104,1,4,64
2165518d,50,Masculino,Sul,premium,79.9,ANUAL,78,1,5,58
e47e729f,59,Feminino,Nordeste,premium,79.9,ANUAL,51,1,4,31
aeac9608,31,Feminino,Sul,padrao,49.9,ANUAL,95,0,4,78
8fe01414,28,Masculino,Sudeste,premium,79.9,MENSAL,16,16,3,12
dcd667a9,51,Feminino,Nordeste,padrao,49.9,MENSAL,5,42,1,5
f6c1e36d,59,Feminino,Sul,padrao,49.9,ANUAL,72,3,4,85
ba085f27,35,Masculino,Sul,premium,49.9,MENSAL,19,15,2,9
a2717caf,48,Masculino,Centro-Oeste,basico,79.9,ANUAL,25,18,3,12
b9b6298a,37,Masculino,Centro-Oeste,padrao,79.9,ANUAL,103,0,4,94
5e35f9c8,29,Feminino,Nordeste,padrao,49.9,ANUAL,104,3,4,76
2a6ea2f0,25,Masculino,Sul,basico,49.9,MENSAL,22,7,3,10
ec9ef495,42,Feminino,Nordeste,premium,79.9,ANUAL,81,3,4,21
354f1ffb,67,Masculino,Nordeste,basico,49.9,MENSAL,7,36,1,5
62c7d3eb,32,Feminino,Centro-Oeste,premium,79.9,ANUAL,83,3,4,28
e29723a6,63,Masculino,Nordeste,padrao,49.9,ANUAL,101,0,4,74
184c984a,48,Masculino,Sudeste,premium,29.9,ANUAL,10,12,3,12
f2ff7bd0,35,Feminino,Norte,premium,49.9,ANUAL,46,1,5,37
f0e5427b,25,Masculino,Norte,basico,49.9,ANUAL,11,10,3,7
54fd42bf,36,Feminino,Sudeste,basico,29.9,MENSAL,10,32,1,1
0368ca47,68,Feminino,Centro-Oeste,premium,79.9,ANUAL,93,0,4,60
e999763f,43,Masculino,Nordeste,premium,79.9,ANUAL,107,3,5,60
506b1859,61,Masculino,Sudeste,padrao,79.9,ANUAL,105,2,5,77
182e3155,49,Masculino,Sul,padrao,49.9,ANUAL,100,3,5,22
1d460d8d,59,Masculino,Centro-Oeste,basico,49.9,MENSAL,1,43,1,4
e0f94952,22,Masculino,Centro-Oeste,padrao,49.9,MENSAL,2,23,1,3
935bad87,27,Masculino,Sul,padrao,29.9,MENSAL,5,58,1,3
2557d5a6,68,Masculino,Norte,padrao,79.9,ANUAL,54,2,5,34
9b4f3b0d,36,Masculino,Sudeste,padrao,49.9,MENSAL,8,50,1,1
3c4eddec,44,Feminino,Centro-Oeste,premium,79.9,ANUAL,102,3,5,100
d4340f87,68,Masculino,Centro-Oeste,padrao,79.9,ANUAL,82,1,4,47
b51f146e,31,Feminino,Norte,premium,49.9,MENSAL,23,18,2,12
9121878b,26,Feminino,Norte,padrao,29.9,MENSAL,17,19,2,11
41344ee3,65,Masculino,Sudeste,premium,49.9,ANUAL,119,2,5,52
13a3dc3a,52,Masculino,Sul,padrao,29.9,MENSAL,4,54,1,5
51c11999,63,Masculino,Sul,premium,29.9,MENSAL,11,20,2,12
7115a07a,58,Feminino,Centro-Oeste,padrao,29.9,MENSAL,7,34,1,3
98af8d9c,21,Feminino,Norte,padrao,49.9,ANUAL,27,17,2,15
a01f823c,55,Feminino,Norte,basico,29.9,MENSAL,27,18,3,11
e68061b4,60,Feminino,Sul,padrao,49.9,MENSAL,9,59,1,3
415e7992,27,Feminino,Nordeste,basico,49.9,MENSAL,10,16,2,10
40ba2a9f,54,Masculino,Centro-Oeste,basico,49.9,ANUAL,29,18,2,15
f52c2b40,19,Masculino,Centro-Oeste,padrao,79.9,ANUAL,54,3,4,30
c06584c2,59,Masculino,Sul,padrao,49.9,ANUAL,46,1,5,74
4ec44aed,59,Masculino,Sul,padrao,79.9,ANUAL,85,0,5,47
9bce89b6,58,Feminino,Sul,padrao,29.9,MENSAL,3,52,1,2
52333221,55,Masculino,Norte,basico,29.9,MENSAL,3,15,1,2
e583419f,31,Feminino,Sul,premium,49.9,ANUAL,117,1,5,32
a23b7f78,55,Masculino,Nordeste,padrao,49.9,ANUAL,95,3,5,67
49026c28,52,Masculino,Nordeste,padrao,49.9,MENSAL,15,10,2,15
003fddcf,38,Feminino,Centro-Oeste,premium,49.9,ANUAL,56,3,4,53
db65b635,46,Feminino,Sul,basico,29.9,MENSAL,8,15,1,0
b9bd9b6f,20,Feminino,Sul,padrao,29.9,ANUAL,14,15,3,7
fcb2a692,29,Masculino,Norte,basico,79.9,MENSAL,23,9,2,7
d3ca5fb4,21,Feminino,Nordeste,basico,29.9,MENSAL,3,54,1,4
a7909814,49,Feminino,Nordeste,basico,49.9,MENSAL,10,39,1,4
d7fc701f,32,Feminino,Sudeste,padrao,49.9,ANUAL,86,2,5,42
7691438d,23,Masculino,Centro-Oeste,padrao,79.9,ANUAL,96,3,5,48
8e8d728f,27,Feminino,Sul,padrao,49.9,ANUAL,87,2,5,79
552f6f8d,41,Feminino,Norte,premium,79.9,ANUAL,25,17,2,11
ccb39519,56,Masculino,Nordeste,padrao,79.9,ANUAL,28,9,3,10
6b58e06c,56,Masculino,Norte,padrao,29.9,MENSAL,7,51,1,3
2d60905a,42,Feminino,Sul,padrao,49.9,MENSAL,9,23,1,3
c1bb21a2,37,Masculino,Norte,basico,49.9,MENSAL,1,54,1,2
2beb6001,62,Feminino,Nordeste,padrao,49.9,MENSAL,3,46,1,2
bb46ad56,37,Masculino,Centro-Oeste,basico,29.9,ANUAL,25,19,3,14
518269ad,55,Masculino,Norte,padrao,29.9,MENSAL,24,19,2,5
60a6d96f,68,Feminino,Sudeste,basico,29.9,MENSAL,0,30,1,2
59c0843c,19,Feminino,Sul,padrao,49.9,ANUAL,69,3,4,47
c6e2d6b7,68,Masculino,Norte,basico,29.9,MENSAL,9,50,1,2
86bd54a4,30,Masculino,Norte,premium,49.9,ANUAL,94,0,4,91
e5daf83b,70,Feminino,Centro-Oeste,premium,49.9,ANUAL,83,3,5,59
a631f2f6,29,Masculino,Sudeste,padrao,49.9,ANUAL,67,3,4,48
3885fbf0,62,Feminino,Nordeste,premium,79.9,ANUAL,105,3,5,81
a2927fdc,21,Feminino,Sul,basico,49.9,MENSAL,7,15,1,1
c8fa54d2,54,Masculino,Centro-Oeste,basico,49.9,MENSAL,9,47,1,1
9f34c6e4,25,Masculino,Nordeste,padrao,49.9,MENSAL,9,60,1,3
d0b3fb37,31,Feminino,Sudeste,premium,79.9,ANUAL,96,2,5,67
0c0b4ded,20,Masculino,Nordeste,premium,49.9,ANUAL,13,20,3,7
f94cf50b,35,Masculino,Centro-Oeste,premium,49.9,ANUAL,109,3,4,66
eda00f7b,30,Masculino,Sul,basico,49.9,ANUAL,18,19,3,8
ef910787,61,Masculino,Norte,premium,29.9,MENSAL,12,14,3,10
b3af7edf,19,Feminino,Norte,padrao,49.9,MENSAL,7,45,1,4
0d20884d,36,Masculino,Centro-Oeste,padrao,79.9,ANUAL,108,1,4,94
1b4ec2f5,53,Feminino,Sudeste,padrao,79.9,ANUAL,112,1,5,26
7a6fec6f,22,Masculino,Sudeste,padrao,49.9,MENSAL,12,18,3,12
e86eba0b,63,Feminino,Sul,basico,49.9,MENSAL,4,41,1,3
bf7fe92c,44,Feminino,Sul,premium,79.9,ANUAL,52,0,5,74
3911694a,30,Masculino,Sul,padrao,29.9,ANUAL,21,17,2,10
605660d6,58,Feminino,Norte,basico,49.9,MENSAL,27,8,3,9
9af5baac,59,Masculino,Norte,padrao,49.9,ANUAL,29,17,3,12
9d6cfdf8,38,Masculino,Sudeste,padrao,79.9,ANUAL,90,3,4,98
24dae793,29,Masculino,Norte,padrao,29.9,MENSAL,1,27,1,5
4212b623,18,Feminino,Nordeste,premium,79.9,ANUAL,46,1,4,27
64a81c3d,56,Masculino,Nordeste,basico,29.9,MENSAL,6,16,1,0
d8c844b9,45,Feminino,Centro-Oeste,premium,79.9,ANUAL,19,17,2,15
045657d5,27,Feminino,Norte,premium,29.9,ANUAL,13,19,2,6
494b49c3,51,Masculino,Nordeste,basico,49.9,MENSAL,6,22,1,5
74150681,56,Feminino,Centro-Oeste,premium,29.9,MENSAL,28,19,2,7
131563bc,23,Masculino,Nordeste,basico,49.9,MENSAL,0,43,1,3
c33c0844,53,Feminino,Sudeste,padrao,49.9,ANUAL,104,1,4,64
91ddc3cd,50,Masculino,Sul,premium,79.9,ANUAL,78,1,5,58
0331390c,59,Feminino,Nordeste,premium,79.9,ANUAL,51,1,4,31
a32c4f18,31,Feminino,Sul,padrao,49.9,ANUAL,95,0,4,78
6095d26c,28,Masculino,Sudeste,premium,79.9,MENSAL,16,16,3,12
a960a33e,51,Feminino,Nordeste,padrao,49.9,MENSAL,5,42,1,5
890df145,59,Feminino,Sul,padrao,49.9,ANUAL,72,3,4,85
021d4ed5,35,Masculino,Sul,premium,49.9,MENSAL,19,15,2,9
d1f6ef12,48,Masculino,Centro-Oeste,basico,79.9,ANUAL,25,18,3,12
a7642a52,37,Masculino,Centro-Oeste,padrao,79.9,ANUAL,103,0,4,94
a41645de,29,Feminino,Nordeste,padrao,49.9,ANUAL,104,3,4,76
bec2d781,25,Masculino,Sul,basico,49.9,MENSAL,22,7,3,10
65aa87e5,42,Feminino,Nordeste,premium,79.9,ANUAL,81,3,4,21
02b74520,67,Masculino,Nordeste,basico,49.9,MENSAL,7,36,1,5
b717f2d3,32,Feminino,Centro-Oeste,premium,79.9,ANUAL,83,3,4,28
2a382afe,63,Masculino,Nordeste,padrao,49.9,ANUAL,101,0,4,74
69161f86,48,Masculino,Sudeste,premium,29.9,ANUAL,10,12,3,12
690146cc,35,Feminino,Norte,premium,49.9,ANUAL,46,1,5,37
c79524ff,25,Masculino,Norte,basico,49.9,ANUAL,11,10,3,7
bc1fc079,36,Feminino,Sudeste,basico,29.9,MENSAL,10,32,1,1
05330991,68,Feminino,Centro-Oeste,premium,79.9,ANUAL,93,0,4,60
82bcc9d2,43,Masculino,Nordeste,premium,79.9,ANUAL,107,3,5,60
7da88a5b,61,Masculino,Sudeste,padrao,79.9,ANUAL,105,2,5,77
585162a0,49,Masculino,Sul,padrao,49.9,ANUAL,100,3,5,22
80c50773,59,Masculino,Centro-Oeste,basico,49.9,MENSAL,1,43,1,4
98f2f69c,22,Masculino,Centro-Oeste,padrao,49.9,MENSAL,2,23,1,3
1a3e1fc2,27,Masculino,Sul,padrao,29.9,MENSAL,5,58,1,3
4f51cf2a,68,Masculino,Norte,padrao,79.9,ANUAL,54,2,5,34
ca587dab,36,Masculino,Sudeste,padrao,49.9,MENSAL,8,50,1,1
8a5ff9d1,44,Feminino,Centro-Oeste,premium,79.9,ANUAL,102,3,5,100
4365b984,68,Masculino,Centro-Oeste,padrao,79.9,ANUAL,82,1,4,47
53b96e87,31,Feminino,Norte,premium,49.9,MENSAL,23,18,2,12
2b61c6f5,26,Feminino,Norte,padrao,29.9,MENSAL,17,19,2,11
25b76169,65,Masculino,Sudeste,premium,49.9,ANUAL,119,2,5,52
35d1252e,52,Masculino,Sul,padrao,29.9,MENSAL,4,54,1,5
5316df94,63,Masculino,Sul,premium,29.9,MENSAL,11,20,2,12
2ce100df,58,Feminino,Centro-Oeste,padrao,29.9,MENSAL,7,34,1,3
9289985c,21,Feminino,Norte,padrao,49.9,ANUAL,27,17,2,15
9738c97a,55,Feminino,Norte,basico,29.9,MENSAL,27,18,3,11
6a69a592,60,Feminino,Sul,padrao,49.9,MENSAL,9,59,1,3
e1503c3b,27,Feminino,Nordeste,basico,49.9,MENSAL,10,16,2,10
6a9374b4,54,Masculino,Centro-Oeste,basico,49.9,ANUAL,29,18,2,15
fb2e4580,19,Masculino,Centro-Oeste,padrao,79.9,ANUAL,54,3,4,30
53c8cad8,59,Masculino,Sul,padrao,49.9,ANUAL,46,1,5,74
4a2fa99a,59,Masculino,Sul,padrao,79.9,ANUAL,85,0,5,47
bb98264d,58,Feminino,Sul,padrao,29.9,MENSAL,3,52,1,2
cc3c2be8,55,Masculino,Norte,basico,29.9,MENSAL,3,15,1,2
3be80d76,31,Feminino,Sul,premium,49.9,ANUAL,117,1,5,32
fc3d56c7,55,Masculino,Nordeste,padrao,49.9,ANUAL,95,3,5,67
3dd8ccb3,52,Masculino,Nordeste,padrao,49.9,MENSAL,15,10,2,15
9a2ac696,38,Feminino,Centro-Oeste,premium,49.9,ANUAL,56,3,4,53
8c0476a8,46,Feminino,Sul,basico,29.9,MENSAL,8,15,1,0
10b63ef5,20,Feminino,Sul,padrao,29.9,ANUAL,14,15,3,7
e66b0167,29,Masculino,Norte,basico,79.9,MENSAL,23,9,2,7
a45ef052,21,Feminino,Nordeste,basico,29.9,MENSAL,3,54,1,4
b94f33a3,49,Feminino,Nordeste,basico,49.9,MENSAL,10,39,1,4
365b02e7,32,Feminino,Sudeste,padrao,49.9,ANUAL,86,2,5,42
73e36931,23,Masculino,Centro-Oeste,padrao,79.9,ANUAL,96,3,5,48
ff97c6d0,27,Feminino,Sul,padrao,49.9,ANUAL,87,2,5,79
2fcb4321,41,Feminino,Norte,premium,79.9,ANUAL,25,17,2,11
bf558876,56,Masculino,Nordeste,padrao,79.9,ANUAL,28,9,3,10
1eaa6f31,56,Masculino,Norte,padrao,29.9,MENSAL,7,51,1,3
209446ac,42,Feminino,Sul,padrao,49.9,MENSAL,9,23,1,3
3ed68773,37,Masculino,Norte,basico,49.9,MENSAL,1,54,1,2
4a1e0c8a,62,Feminino,Nordeste,padrao,49.9,MENSAL,3,46,1,2
ebba82b3,37,Masculino,Centro-Oeste,basico,29.9,ANUAL,25,19,3,14
24093b1d,55,Masculino,Norte,padrao,29.9,MENSAL,24,19,2,5
fec78245,68,Feminino,Sudeste,basico,29.9,MENSAL,0,30,1,2
c815ecf1,19,Feminino,Sul,padrao,49.9,ANUAL,69,3,4,47
f3a579fd,68,Masculino,Norte,basico,29.9,MENSAL,9,50,1,2
240eecf2,30,Masculino,Norte,premium,49.9,ANUAL,94,0,4,91
bbe8137e,70,Feminino,Centro-Oeste,premium,49.9,ANUAL,83,3,5,59
27997bba,29,Masculino,Sudeste,padrao,49.9,ANUAL,67,3,4,48
fb665ef3,62,Feminino,Nordeste,premium,79.9,ANUAL,105,3,5,81
b90a7ef4,21,Feminino,Sul,basico,49.9,MENSAL,7,15,1,1
a7db72eb,54,Masculino,Centro-Oeste,basico,49.9,MENSAL,9,47,1,1
e1018c70,25,Masculino,Nordeste,padrao,49.9,MENSAL,9,60,1,3
fa1e12b2,31,Feminino,Sudeste,premium,79.9,ANUAL,96,2,5,67
bb2cd872,20,Masculino,Nordeste,premium,49.9,ANUAL,13,20,3,7
47d1e8e8,35,Masculino,Centro-Oeste,premium,49.9,ANUAL,109,3,4,66
ddb1b228,30,Masculino,Sul,basico,49.9,ANUAL,18,19,3,8
f3221679,61,Masculino,Norte,premium,29.9,MENSAL,12,14,3,10
a4ff1be4,19,Feminino,Norte,padrao,49.9,MENSAL,7,45,1,4
08985e97,36,Masculino,Centro-Oeste,padrao,79.9,ANUAL,108,1,4,94
3b92b56c,53,Feminino,Sudeste,padrao,79.9,ANUAL,112,1,5,26
3d92594e,22,Masculino,Sudeste,padrao,49.9,MENSAL,12,18,3,12
82cafe15,63,Feminino,Sul,basico,49.9,MENSAL,4,41,1,3
2a04357e,44,Feminino,Sul,premium,79.9,ANUAL,52,0,5,74
c9569fb7,30,Masculino,Sul,padrao,29.9,ANUAL,21,17,2,10
bef4f231,58,Feminino,Norte,basico,49.9,MENSAL,27,8,3,9
caaf8830,59,Masculino,Norte,padrao,49.9,ANUAL,29,17,3,12
ae8b768a,38,Masculino,Sudeste,padrao,79.9,ANUAL,90,3,4,98
50084ccc,29,Masculino,Norte,padrao,29.9,MENSAL,1,27,1,5
381d01a5,18,Feminino,Nordeste,premium,79.9,ANUAL,46,1,4,27
03c944f9,56,Masculino,Nordeste,basico,29.9,MENSAL,6,16,1,0
00f385e6,45,Feminino,Centro-Oeste,premium,79.9,ANUAL,19,17,2,15
12aef280,27,Feminino,Norte,premium,29.9,ANUAL,13,19,2,6
7a021c03,51,Masculino,Nordeste,basico,49.9,MENSAL,6,22,1,5
68238799,56,Feminino,Centro-Oeste,premium,29.9,MENSAL,28,19,2,7
b9e1ed10,23,Masculino,Nordeste,basico,49.9,MENSAL,0,43,1,3
7b0e7993,53,Feminino,Sudeste,padrao,49.9,ANUAL,104,1,4,64
0d3c1ab5,50,Masculino,Sul,premium,79.9,ANUAL,78,1,5,58
15ec2af5,59,Feminino,Nordeste,premium,79.9,ANUAL,51,1,4,31
8bf38ee3,31,Feminino,Sul,padrao,49.9,ANUAL,95,0,4,78
1a113760,28,Masculino,Sudeste,premium,79.9,MENSAL,16,16,3,12
e9979e87,51,Feminino,Nordeste,padrao,49.9,MENSAL,5,42,1,5
ee7e8238,59,Feminino,Sul,padrao,49.9,ANUAL,72,3,4,85
8a936e9a,35,Masculino,Sul,premium,49.9,MENSAL,19,15,2,9
bd0a67fb,48,Masculino,Centro-Oeste,basico,79.9,ANUAL,25,18,3,12
f9258d3c,37,Masculino,Centro-Oeste,padrao,79.9,ANUAL,103,0,4,94
8b84768c,29,Feminino,Nordeste,padrao,49.9,ANUAL,104,3,4,76
3d58ae67,25,Masculino,Sul,basico,49.9,MENSAL,22,7,3,10
dd993508,42,Feminino,Nordeste,premium,79.9,ANUAL,81,3,4,21
a1d73e65,67,Masculino,Nordeste,basico,49.9,MENSAL,7,36,1,5
dc484542,32,Feminino,Centro-Oeste,premium,79.9,ANUAL,83,3,4,28
64b2afc6,63,Masculino,Nordeste,padrao,49.9,ANUAL,101,0,4,74
77e4f81d,48,Masculino,Sudeste,premium,29.9,ANUAL,10,12,3,12
7dcc1443,35,Feminino,Norte,premium,49.9,ANUAL,46,1,5,37
ab252fed,25,Masculino,Norte,basico,49.9,ANUAL,11,10,3,7
bd9e710c,36,Feminino,Sudeste,basico,29.9,MENSAL,10,32,1,1
9de2d565,68,Feminino,Centro-Oeste,premium,79.9,ANUAL,93,0,4,60
3108d7ed,43,Masculino,Nordeste,premium,79.9,ANUAL,107,3,5,60
3485d4ea,61,Masculino,Sudeste,padrao,79.9,ANUAL,105,2,5,77
a9099987,49,Masculino,Sul,padrao,49.9,ANUAL,100,3,5,22
cd2e0e5f,59,Masculino,Centro-Oeste,basico,49.9,MENSAL,1,43,1,4
05594b8d,22,Masculino,Centro-Oeste,padrao,49.9,MENSAL,2,23,1,3
fa14b019,27,Masculino,Sul,padrao,29.9,MENSAL,5,58,1,3
36c2c0e5,68,Masculino,Norte,padrao,79.9,ANUAL,54,2,5,34
bb924dac,36,Masculino,Sudeste,padrao,49.9,MENSAL,8,50,1,1
0273cb8c,44,Feminino,Centro-Oeste,premium,79.9,ANUAL,102,3,5,100
4f11c534,68,Masculino,Centro-Oeste,padrao,79.9,ANUAL,82,1,4,47
458a2fea,31,Feminino,Norte,premium,49.9,MENSAL,23,18,2,12
30028e3c,26,Feminino,Norte,padrao,29.9,MENSAL,17,19,2,11
7e426b31,65,Masculino,Sudeste,premium,49.9,ANUAL,119,2,5,52
7c2052a4,52,Masculino,Sul,padrao,29.9,MENSAL,4,54,1,5
cf35e22d,63,Masculino,Sul,premium,29.9,MENSAL,11,20,2,12
10293bcd,58,Feminino,Centro-Oeste,padrao,29.9,MENSAL,7,34,1,3
b4fbb1d9,21,Feminino,Norte,padrao,49.9,ANUAL,27,17,2,15
4237dc1e,55,Feminino,Norte,basico,29.9,MENSAL,27,18,3,11
e97cee5e,60,Feminino,Sul,padrao,49.9,MENSAL,9,59,1,3
ef466d44,27,Feminino,Nordeste,basico,49.9,MENSAL,10,16,2,10
1ec82633,54,Masculino,Centro-Oeste,basico,49.9,ANUAL,29,18,2,15
cd2631a4,19,Masculino,Centro-Oeste,padrao,79.9,ANUAL,54,3,4,30
1e0c16d7,59,Masculino,Sul,padrao,49.9,ANUAL,46,1,5,74
b7a885fd,59,Masculino,Sul,padrao,79.9,ANUAL,85,0,5,47
3422f8dc,58,Feminino,Sul,padrao,29.9,MENSAL,3,52,1,2
927033c6,55,Masculino,Norte,basico,29.9,MENSAL,3,15,1,2
7ea880d4,31,Feminino,Sul,premium,49.9,ANUAL,117,1,5,32
9a9ec997,55,Masculino,Nordeste,padrao,49.9,ANUAL,95,3,5,67
0c1bf95b,52,Masculino,Nordeste,padrao,49.9,MENSAL,15,10,2,15
5ed90b98,38,Feminino,Centro-Oeste,premium,49.9,ANUAL,56,3,4,53
b42c5b5b,46,Feminino,Sul,basico,29.9,MENSAL,8,15,1,0
18e714f9,20,Feminino,Sul,padrao,29.9,ANUAL,14,15,3,7
ef626150,29,Masculino,Norte,basico,79.9,MENSAL,23,9,2,7
2d321d1c,21,Feminino,Nordeste,basico,29.9,MENSAL,3,54,1,4
88b9aefb,49,Feminino,Nordeste,basico,49.9,MENSAL,10,39,1,4
bbf3c4ba,32,Feminino,Sudeste,padrao,49.9,ANUAL,86,2,5,42
9fb0aeca,23,Masculino,Centro-Oeste,padrao,79.9,ANUAL,96,3,5,48
f2214a87,27,Feminino,Sul,padrao,49.9,ANUAL,87,2,5,79
29941b25,41,Feminino,Norte,premium,79.9,ANUAL,25,17,2,11
7bc9b04e,56,Masculino,Nordeste,padrao,79.9,ANUAL,28,9,3,10
f62f0e00,56,Masculino,Norte,padrao,29.9,MENSAL,7,51,1,3
d82e7f2e,42,Feminino,Sul,padrao,49.9,MENSAL,9,23,1,3
fe68a8ba,37,Masculino,Norte,basico,49.9,MENSAL,1,54,1,2
f5aa5a47,62,Feminino,Nordeste,padrao,49.9,MENSAL,3,46,1,2
9a7db7b4,37,Masculino,Centro-Oeste,basico,29.9,ANUAL,25,19,3,14
3cea7dd3,55,Masculino,Norte,padrao,29.9,MENSAL,24,19,2,5
468852ba,68,Feminino,Sudeste,basico,29.9,MENSAL,0,30,1,2
0630be16,19,Feminino,Sul,padrao,49.9,ANUAL,69,3,4,47
9e7f7bb1,68,Masculino,Norte,basico,29.9,MENSAL,9,50,1,2
28a23d5e,30,Masculino,Norte,premium,49.9,ANUAL,94,0,4,91
b01f4e3f,70,Feminino,Centro-Oeste,premium,49.9,ANUAL,83,3,5,59
aabde9da,29,Masculino,Sudeste,padrao,49.9,ANUAL,67,3,4,48
3a72a137,62,Feminino,Nordeste,premium,79.9,ANUAL,105,3,5,81
366b6d30,21,Feminino,Sul,basico,49.9,MENSAL,7,15,1,1
986624fc,54,Masculino,Centro-Oeste,basico,49.9,MENSAL,9,47,1,1
54b2000e,25,Masculino,Nordeste,padrao,49.9,MENSAL,9,60,1,3
7e5797e8,31,Feminino,Sudeste,premium,79.9,ANUAL,96,2,5,67
c03001ba,20,Masculino,Nordeste,premium,49.9,ANUAL,13,20,3,7
282aaf4c,35,Masculino,Centro-Oeste,premium,49.9,ANUAL,109,3,4,66
d292c189,30,Masculino,Sul,basico,49.9,ANUAL,18,19,3,8
c9e34f40,61,Masculino,Norte,premium,29.9,MENSAL,12,14,3,10
020d07b2,19,Feminino,Norte,padrao,49.9,MENSAL,7,45,1,4
56fc13e6,36,Masculino,Centro-Oeste,padrao,79.9,ANUAL,108,1,4,94
2451d0b7,53,Feminino,Sudeste,padrao,79.9,ANUAL,112,1,5,26
e357edd5,22,Masculino,Sudeste,padrao,49.9,MENSAL,12,18,3,12
ce596f8b,63,Feminino,Sul,basico,49.9,MENSAL,4,41,1,3
0c661788,44,Feminino,Sul,premium,79.9,ANUAL,52,0,5,74
adc1636f,30,Masculino,Sul,padrao,29.9,ANUAL,21,17,2,10
f6b704e0,58,Feminino,Norte,basico,49.9,MENSAL,27,8,3,9
504897cf,59,Masculino,Norte,padrao,49.9,ANUAL,29,17,3,12
d7e49d0b,38,Masculino,Sudeste,padrao,79.9,ANUAL,90,3,4,98
7e146730,29,Masculino,Norte,padrao,29.9,MENSAL,1,27,1,5
cf74f955,18,Feminino,Nordeste,premium,79.9,ANUAL,46,1,4,27
db25c51c,56,Masculino,Nordeste,basico,29.9,MENSAL,6,16,1,0
5de97ad4,45,Feminino,Centro-Oeste,premium,79.9,ANUAL,19,17,2,15
ca1696ad,27,Feminino,Norte,premium,29.9,ANUAL,13,19,2,6
44c1c6e7,51,Masculino,Nordeste,basico,49.9,MENSAL,6,22,1,5
1c5ae440,56,Feminino,Centro-Oeste,premium,29.9,MENSAL,28,19,2,7
